COMMON_NAME,audio,image,link
Bridled tern,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/aaa_4837_0.jpg?itok=wv5bCjUW,https://www.hbw.com/species/bridled-tern-onychoprion-anaethetus#Taxonomy
Bristle-thighed curlew,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/1558_20160530_6_1000.jpg?itok=JSB5Cpzi,https://www.hbw.com/species/bristle-thighed-curlew-numenius-tahitiensis#Taxonomy
Broad-billed sandpiper,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/jankasirriainen_uki_05-16_img_img_4599.jpg?itok=sSi0Kfqi,https://www.hbw.com/species/broad-billed-sandpiper-calidris-falcinellus#Taxonomy
Brown jay,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/brownjay_ad_head_parares_mv_cr_2_2_17_a_am8i7676.jpg?itok=SVrqxuNK,https://www.hbw.com/species/brown-jay-cyanocorax-morio#Taxonomy
Brown noddy,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Brown_Noddy_03.jpg?itok=d_MJExKM,https://www.hbw.com/species/brown-noddy-anous-stolidus#Taxonomy
Brown shrike,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/bf6e1334_brown_shrike.jpg?itok=vLC75WFN,https://www.hbw.com/species/brown-shrike-lanius-cristatus#Taxonomy
Brown-backed solitaire,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Myadestes_occidentalis_6JH.jpg?itok=cdGrrKs3,https://www.hbw.com/species/brown-backed-solitaire-myadestes-occidentalis#Taxonomy
Brown-chested martin,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Gray-breasted_Martin.jpg?itok=V3XDcNwp,https://www.hbw.com/species/brown-chested-martin-progne-tapera#Taxonomy
Brown-crested flycatcher,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/brown-crested_flycatcher_dusan_brinkhuizen_ibc.jpg?itok=fdbHMYEg,https://www.hbw.com/species/brown-crested-flycatcher-myiarchus-tyrannulus#Taxonomy
Bryans shearwater,no image,no link
Budgerigar,no image,no link
Bullers shearwater,no image,no link
Bulwers petrel,no image,no link
Bumblebee hummingbird,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/IMG_1538b.JPG?itok=1GyKmlt8,https://www.hbw.com/species/bumblebee-hummingbird-atthis-heloisa#Taxonomy
Cape Verde shearwater,no image,no link
Carolina parakeet,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/mlc.2011.0.312_b.jpg?itok=zJw6fOTj,https://www.hbw.com/species/carolina-parakeet-conuropsis-carolinensis#Descriptive_notes
Chatham albatross,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/E7D_7126A.jpg?itok=J2wAKdq2,https://www.hbw.com/species/chatham-albatross-thalassarche-eremita#Taxonomy
Chestnut-bellied sandgrouse,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/pteexu46225.jpg?itok=WX4pqQBJ,https://www.hbw.com/species/chestnut-bellied-sandgrouse-pterocles-exustus#Taxonomy
