SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR
Enicurus leschenaulti [frontalis Group],White-crowned Forktail (White-crowned),whcfor4,issf,23403.06255,WCFO,ENLE,,Passeriformes,Old World Flycatchers,Muscicapidae,whcfor1,,
Enicurus leschenaulti leschenaulti,White-crowned Forktail (Javan),whcfor5,issf,23403.0628,WCFO,ENLE,,Passeriformes,Old World Flycatchers,Muscicapidae,whcfor1,,
Enicurus leschenaulti borneensis,White-crowned Forktail (Bornean),whcfor3,issf,23403.0631,BOFO WCFO,ENLE,,Passeriformes,Old World Flycatchers,Muscicapidae,whcfor1,,
Enicurus maculatus,Spotted Forktail,spofor1,species,23403.0632,SPFO,ENMA,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Enicurus velatus,Sunda Forktail,sunfor1,species,23403.0637,SUFO,ENVE,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Enicurus ruficapillus,Chestnut-naped Forktail,chnfor1,species,23403.064,CNFO,ENRU,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Enicurus immaculatus,Black-backed Forktail,blbfor1,species,23403.0641,BBFO,ENIM,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Enicurus schistaceus,Slaty-backed Forktail,slbfor1,species,23403.0642,SBFO,ENSC,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Enicurus sp.,forktail sp.,forkta1,spuh,23403.06425,,,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Calliope pectardens,Firethroat,fireth1,species,23403.0643,FIRE,CAPE,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Calliope obscura,Black-throated Blue Robin,btbrob1,species,23403.0644,BTBR BLAC,CAOB,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Calliope calliope,Siberian Rubythroat,sibrub,species,23403.0645,,CACA,SIRU,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Calliope pectoralis,Himalayan Rubythroat,himrub1,species,23403.06452,HIRU,CAPE,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Calliope tschebaiewi,Chinese Rubythroat,chirub1,species,23403.06456,CHRU,CATS,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Calliope pectoralis/tschebaiewi,Himalayan/Chinese Rubythroat (White-tailed Rubythroat),whtrub1,slash,23403.0646,HIRU CHRU,CATS,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Myiomela leucura,White-tailed Robin,whtrob2,species,23403.0651,WTRO,MYLE,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Myiomela leucura leucura/montium,White-tailed Robin (White-tailed),whtrob4,issf,23403.0653,WTRO,MYLE,,Passeriformes,Old World Flycatchers,Muscicapidae,whtrob2,,
Myiomela leucura cambodiana,White-tailed Robin (Cambodian),whtrob5,issf,23403.0654,WTRO,MYLE,,Passeriformes,Old World Flycatchers,Muscicapidae,whtrob2,,
Myiomela diana,Sunda Robin,sunrob1,species,23403.0655,SURO,MYDI,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Myiomela diana sumatrana,Sunda Robin (Sumatran),sunrob2,issf,23403.0656,SURO,MYDI,,Passeriformes,Old World Flycatchers,Muscicapidae,sunrob1,,
Myiomela diana diana,Sunda Robin (Javan),sunrob3,issf,23403.0657,SURO,MYDI,,Passeriformes,Old World Flycatchers,Muscicapidae,sunrob1,,
Cinclidium frontale,Blue-fronted Robin,blfrob1,species,23403.0658,BFRO,CIFR,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Grandala coelicolor,Grandala,granda1,species,23403.0661,GRAN,GRCO,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Tarsiger cyanurus,Red-flanked Bluetail,refblu,species,23403.0662,,TACY,RFBL,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Tarsiger rufilatus,Himalayan Bluetail,himblu1,species,23403.0663,HIBL,TARU,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Tarsiger cyanurus/rufilatus,Red-flanked/Himalayan Bluetail,y00912,slash,23403.06635,RFBL HIBL,TACY TARU,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
