SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR
Gymnobucco bonapartei cinereiceps,Gray-throated Barbet (Gray-headed),gytbar3,issf,10365.4,GTBA,GYBO,,Piciformes,African Barbets,Lybiidae,gytbar1,,
Gymnobucco sladeni,Sladen's Barbet,slabar1,species,10368.0,SLBA,GYSL,,Piciformes,African Barbets,Lybiidae,,,
Gymnobucco peli,Bristle-nosed Barbet,brnbar1,species,10369.0,BNBA,GYPE,,Piciformes,African Barbets,Lybiidae,,,
Gymnobucco calvus,Naked-faced Barbet,nafbar1,species,10370.0,NFBA,GYCA,,Piciformes,African Barbets,Lybiidae,,,
Gymnobucco calvus calvus/congicus,Naked-faced Barbet (Naked-faced),nafbar2,issf,10370.2,NFBA,GYCA,,Piciformes,African Barbets,Lybiidae,nafbar1,,
Gymnobucco calvus vernayi,Naked-faced Barbet (Pale-throated),nafbar3,issf,10370.4,NFBA,GYCA,,Piciformes,African Barbets,Lybiidae,nafbar1,,
Stactolaema leucotis,White-eared Barbet,whebar1,species,10374.0,WEBA,STLE,,Piciformes,African Barbets,Lybiidae,,,
Stactolaema leucotis leucogrammica,White-eared Barbet (White-lined),whebar2,issf,10374.2,WEBA,STLE,,Piciformes,African Barbets,Lybiidae,whebar1,,
Stactolaema leucotis leucotis/kilimensis,White-eared Barbet (White-eared),whebar3,issf,10374.4,WEBA,STLE,,Piciformes,African Barbets,Lybiidae,whebar1,,
Stactolaema whytii,Whyte's Barbet,whybar1,species,10378.0,WHBA,STWH,,Piciformes,African Barbets,Lybiidae,,,
Stactolaema anchietae,Anchieta's Barbet,ancbar1,species,10385.0,ANBA,STAN,,Piciformes,African Barbets,Lybiidae,,,
Stactolaema olivacea,Green Barbet,grebar2,species,10389.0,GRBA,STOL,,Piciformes,African Barbets,Lybiidae,,,
Stactolaema olivacea olivacea,Green Barbet (Green),grnbar2,issf,10390.0,GRBA,STOL,,Piciformes,African Barbets,Lybiidae,grebar2,,
Stactolaema olivacea howelli,Green Barbet (Howell's),grnbar1,issf,10391.0,GRBA,STOL,,Piciformes,African Barbets,Lybiidae,grebar2,,
Stactolaema olivacea woodwardi,Green Barbet (Woodward's),grnbar4,issf,10392.0,GRBA,STOL,,Piciformes,African Barbets,Lybiidae,grebar2,,
Stactolaema olivacea belcheri/rungweensis,Green Barbet (Malawi),grnbar3,issf,10392.5,GRBA,STOL,,Piciformes,African Barbets,Lybiidae,grebar2,,
Pogoniulus scolopaceus,Speckled Tinkerbird,spetin1,species,10395.0,SPTI,POSC,,Piciformes,African Barbets,Lybiidae,,,
Pogoniulus simplex,Green Tinkerbird,gretin2,species,10399.0,GRTI,POSI,,Piciformes,African Barbets,Lybiidae,,,
Pogoniulus leucomystax,Moustached Tinkerbird,moutin1,species,10400.0,MOTI,POLE,,Piciformes,African Barbets,Lybiidae,,,
Pogoniulus coryphaea,Western Tinkerbird,westin1,species,10401.0,WETI,POCO,,Piciformes,African Barbets,Lybiidae,,,
Pogoniulus coryphaea coryphaea,Western Tinkerbird (Western),westin2,issf,10402.0,WETI,POCO,,Piciformes,African Barbets,Lybiidae,westin1,,
Pogoniulus coryphaea hildamariae,Western Tinkerbird (Eastern),westin3,issf,10403.0,WETI,POCO,,Piciformes,African Barbets,Lybiidae,westin1,,
Pogoniulus coryphaea angolensis,Western Tinkerbird (Angola),westin4,issf,10404.0,WETI,POCO,,Piciformes,African Barbets,Lybiidae,westin1,,
Pogoniulus atroflavus,Red-rumped Tinkerbird,rertin1,species,10405.0,RRTI,POAT,,Piciformes,African Barbets,Lybiidae,,,
Pogoniulus subsulphureus,Yellow-throated Tinkerbird,yettin1,species,10406.0,YTTI,POSU,,Piciformes,African Barbets,Lybiidae,,,
Pogoniulus bilineatus,Yellow-rumped Tinkerbird,yertin1,species,10410.0,YRTI,POBI,,Piciformes,African Barbets,Lybiidae,,,
Pogoniulus makawai,White-chested Tinkerbird,whctin1,species,10416.1,WCTI,POMA,,Piciformes,African Barbets,Lybiidae,,,
Pogoniulus pusillus,Red-fronted Tinkerbird,reftin1,species,10417.0,RFTI,POPU,,Piciformes,African Barbets,Lybiidae,,,
Pogoniulus chrysoconus,Yellow-fronted Tinkerbird,yeftin1,species,10421.0,YFTI,POCH,,Piciformes,African Barbets,Lybiidae,,,
Pogoniulus sp.,tinkerbird sp.,tinker1,spuh,10425.0,,,,Piciformes,African Barbets,Lybiidae,,,
Buccanodon duchaillui,Yellow-spotted Barbet,yesbar1,species,10426.0,YSBA,BUDU,,Piciformes,African Barbets,Lybiidae,,,
Tricholaema hirsuta,Hairy-breasted Barbet,habbar1,species,10427.0,HBBA,TRHI,,Piciformes,African Barbets,Lybiidae,,,
Tricholaema hirsuta hirsuta,Hairy-breasted Barbet (Hairy-breasted),habbar2,issf,10428.0,HBBA,TRHI,,Piciformes,African Barbets,Lybiidae,habbar1,,
Tricholaema hirsuta [flavipunctata Group],Hairy-breasted Barbet (Streaky-throated),habbar3,issf,10428.5,HBBA,TRHI,,Piciformes,African Barbets,Lybiidae,habbar1,,
Tricholaema diademata,Red-fronted Barbet,refbar2,species,10432.0,RFBA,TRDI,,Piciformes,African Barbets,Lybiidae,,,
Tricholaema frontata,Miombo Barbet,miobar1,species,10435.0,MPBA MIBA,TRFR,,Piciformes,African Barbets,Lybiidae,,,
Tricholaema leucomelas,Pied Barbet,piebar1,species,10436.0,APBA PIBA,TRLE,,Piciformes,African Barbets,Lybiidae,,,
Tricholaema lacrymosa,Spot-flanked Barbet,spfbar1,species,10440.0,SFBA,TRLA,,Piciformes,African Barbets,Lybiidae,,,
Tricholaema melanocephala,Black-throated Barbet,bltbar1,species,10443.0,BTBA,TRME,,Piciformes,African Barbets,Lybiidae,,,
Lybius undatus,Banded Barbet,banbar1,species,10448.0,BABA,LYUN,,Piciformes,African Barbets,Lybiidae,,,
Lybius vieilloti,Vieillot's Barbet,viebar1,species,10453.0,VIBA,LYVI,,Piciformes,African Barbets,Lybiidae,,,
Lybius leucocephalus,White-headed Barbet,whhbar1,species,10457.0,WHBA,LYLE,,Piciformes,African Barbets,Lybiidae,,,
Lybius leucocephalus [leucocephalus Group],White-headed Barbet (White-headed),whhbar2,issf,10457.2,WHBA,LYLE,,Piciformes,African Barbets,Lybiidae,whhbar1,,
Lybius leucocephalus senex,White-headed Barbet (Brown-and-white),whhbar3,issf,10457.4,WHBA,LYLE,,Piciformes,African Barbets,Lybiidae,whhbar1,,
Lybius leucocephalus leucogaster,White-headed Barbet (White-bellied),whhbar4,issf,10457.6,WHBA,LYLE,,Piciformes,African Barbets,Lybiidae,whhbar1,,
Lybius chaplini,Chaplin's Barbet,chabar1,species,10464.0,CHBA,LYCH,,Piciformes,African Barbets,Lybiidae,,,
Lybius rubrifacies,Red-faced Barbet,refbar1,species,10465.0,RFBA,LYRU,,Piciformes,African Barbets,Lybiidae,,,
Lybius guifsobalito,Black-billed Barbet,blbbar3,species,10466.0,BBBA,LYGU,,Piciformes,African Barbets,Lybiidae,,,
Lybius torquatus,Black-collared Barbet,blcbar1,species,10467.0,BCBA,LYTO,,Piciformes,African Barbets,Lybiidae,,,
Lybius melanopterus,Brown-breasted Barbet,brbbar1,species,10475.0,BBBA,LYME,,Piciformes,African Barbets,Lybiidae,,,
Lybius minor,Black-backed Barbet,blbbar1,species,10476.0,BBBA,LYMI,,Piciformes,African Barbets,Lybiidae,,,
Lybius minor minor,Black-backed Barbet (Brown-backed),bkbbar1,issf,10477.0,BBBA,LYMI,,Piciformes,African Barbets,Lybiidae,blbbar1,,
Lybius minor macclounii,Black-backed Barbet (Black-backed),bkbbar2,issf,10478.0,BBBA,LYMI,,Piciformes,African Barbets,Lybiidae,blbbar1,,
Lybius bidentatus,Double-toothed Barbet,dotbar1,species,10479.0,DTBA,LYBI,,Piciformes,African Barbets,Lybiidae,,,
Lybius dubius,Bearded Barbet,beabar1,species,10482.0,BEBA,LYDU,,Piciformes,African Barbets,Lybiidae,,,
Lybius rolleti,Black-breasted Barbet,blbbar4,species,10483.0,BBBA,LYRO,,Piciformes,African Barbets,Lybiidae,,,
Lybiidae sp.,african barbet sp.,afrbar1,spuh,10483.5,,,,Piciformes,African Barbets,Lybiidae,,,
Caloramphus hayii,Sooty Barbet,soobar2,species,10484.0,SOBA,CAHA,,Piciformes,Asian Barbets,Megalaimidae,,,
Caloramphus fuliginosus,Brown Barbet,brnbar2,species,10487.0,BRBA,CAFU,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon malabaricus,Malabar Barbet,crfbar1,species,10489.0,MABA,PSMA,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon rubricapillus,Crimson-fronted Barbet,crfbar3,species,10490.0,CFBA,PSRU,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon haemacephalus,Coppersmith Barbet,copbar1,species,10491.0,COBA,PSHA,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon malabaricus/haemacephalus,Malabar/Coppersmith Barbet,y00869,slash,10491.2,COBA MABA,PSHA PSMA,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon duvaucelii,Blue-eared Barbet,blebar1,species,10501.0,BEBA,PSDU,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon duvaucelii cyanotis/orientalis,Blue-eared Barbet (Blue-eared),buebar1,issf,10501.2,BEBA,PSDU,,Piciformes,Asian Barbets,Megalaimidae,blebar1,,
Psilopogon duvaucelii [duvaucelii Group],Blue-eared Barbet (Black-eared),buebar2,issf,10501.4,BEBA,PSDU,,Piciformes,Asian Barbets,Megalaimidae,blebar1,,
Psilopogon australis,Little Barbet,litbar1,species,10507.0,YEBA LIBA,PSAU,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon eximius,Bornean Barbet,borbar1,species,10508.0,BOBA,PSEX,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon pyrolophus,Fire-tufted Barbet,fitbar1,species,10511.0,FTBA,PSPY,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon virens,Great Barbet,grebar1,species,10512.0,GRBA,PSVI,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon lagrandieri,Red-vented Barbet,revbar1,species,10517.0,RVBA,PSLA,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon rafflesii,Red-crowned Barbet,recbar1,species,10520.0,RCBA,PSRA,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon mystacophanos,Red-throated Barbet,retbar1,species,10521.0,RTBA,PSMY,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon javensis,Black-banded Barbet,blbbar2,species,10523.0,BBBA,PSJA,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon pulcherrimus,Golden-naped Barbet,gonbar1,species,10524.0,GNBA,PSPU,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon henricii,Yellow-crowned Barbet,yecbar1,species,10525.0,YCBA,PSHE,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon armillaris,Flame-fronted Barbet,flfbar1,species,10528.0,FFBA,PSAR,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon faiostrictus,Green-eared Barbet,grebar3,species,10531.0,GEBA,PSFA,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon lineatus,Lineated Barbet,linbar1,species,10534.0,LIBA,PSLI,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon zeylanicus,Brown-headed Barbet,brhbar1,species,10537.0,BHBA,PSZE,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon viridis,White-cheeked Barbet,whcbar1,species,10541.0,WCBA,PSVI,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon zeylanicus/viridis,Brown-headed/White-cheeked Barbet,y00870,slash,10541.2,BHBA WCBA,PSZE PSVI,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon flavifrons,Yellow-fronted Barbet,yefbar1,species,10542.0,YFBA,PSFL,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon franklinii,Golden-throated Barbet,gotbar1,species,10543.0,GTBA,PSFR,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon franklinii franklinii/ramsayi,Golden-throated Barbet (White-eared),gotbar2,issf,10544.0,GTBA,PSFR,,Piciformes,Asian Barbets,Megalaimidae,gotbar1,,
Psilopogon franklinii auricularis,Golden-throated Barbet (Violet-eared),gotbar3,issf,10547.0,GTBA NEBA,PSFR,,Piciformes,Asian Barbets,Megalaimidae,gotbar1,,
Psilopogon monticola,Mountain Barbet,moubar1,species,10548.0,MOBA,PSMO,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon corvinus,Brown-throated Barbet,brtbar1,species,10549.0,BTBA,PSCO,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon chrysopogon,Gold-whiskered Barbet,gowbar1,species,10550.0,GWBA,PSCH,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon chrysopsis,Gold-faced Barbet,gofbar1,species,10553.0,GWBA GFBA,PSCH,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon incognitus,Moustached Barbet,moubar2,species,10554.0,MOBA,PSIN,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon nuchalis,Taiwan Barbet,taibar2,species,10559.0,TABA,PSNU,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon faber,Chinese Barbet,chibar1,species,10560.0,CHBA,PSFA,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon asiaticus,Blue-throated Barbet,bltbar2,species,10562.2,BTBA,PSAS,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon asiaticus asiaticus,Blue-throated Barbet (Red-crowned),butbar1,issf,10562.4,BTBA,PSAS,,Piciformes,Asian Barbets,Megalaimidae,bltbar2,,
Psilopogon asiaticus davisoni,Blue-throated Barbet (Blue-crowned),butbar2,issf,10562.6,BTBA,PSAS,,Piciformes,Asian Barbets,Megalaimidae,bltbar2,,
Psilopogon annamensis,Indochinese Barbet,indbar1,species,10562.8,INBA,PSAN,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon oorti,Black-browed Barbet,blbbar5,species,10563.0,BBBA,PSOO,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon chersonesus,Turquoise-throated Barbet,tutbar1,species,10564.0,TTBA,PSCH,,Piciformes,Asian Barbets,Megalaimidae,,,
Psilopogon sp.,Psilopogon sp.,megala1,spuh,10565.0,,,,Piciformes,Asian Barbets,Megalaimidae,,,
Megalaimidae sp.,asian barbet sp.,asibar1,spuh,10567.0,,,,Piciformes,Asian Barbets,Megalaimidae,,,
Capito aurovirens,Scarlet-crowned Barbet,sccbar1,species,10569.0,SCBA,CAAU,,Piciformes,New World Barbets,Capitonidae,,,
Capito dayi,Black-girdled Barbet,blgbar1,species,10570.0,BGBA,CADA,,Piciformes,New World Barbets,Capitonidae,,,
Capito maculicoronatus,Spot-crowned Barbet,spcbar1,species,10571.0,,CAMA,SCBA,Piciformes,New World Barbets,Capitonidae,,,
Capito squamatus,Orange-fronted Barbet,orfbar1,species,10574.0,OFBA,CASQ,,Piciformes,New World Barbets,Capitonidae,,,
Capito hypoleucus,White-mantled Barbet,whmbar1,species,10575.0,WMBA,CAHY,,Piciformes,New World Barbets,Capitonidae,,,
Capito wallacei,Scarlet-banded Barbet,scbbar2,species,10579.0,SBBA,CAWA,,Piciformes,New World Barbets,Capitonidae,,,
Capito wallacei wallacei,Scarlet-banded Barbet (Scarlet-banded),scbbar1,issf,10579.3,SBBA,CAWA,,Piciformes,New World Barbets,Capitonidae,scbbar2,,
Capito wallacei fitzpatricki,Scarlet-banded Barbet (Sira),sirbar1,issf,10579.5,SBBA SIBA,CAWA,,Piciformes,New World Barbets,Capitonidae,scbbar2,,
Capito quinticolor,Five-colored Barbet,ficbar1,species,10580.0,FCBA,CAQU,,Piciformes,New World Barbets,Capitonidae,,,
Capito brunneipectus,Brown-chested Barbet,brcbar1,species,10581.0,BCBA,CABR,,Piciformes,New World Barbets,Capitonidae,,,
Capito niger,Black-spotted Barbet,blsbar1,species,10582.0,BSBA,CANI,,Piciformes,New World Barbets,Capitonidae,,,
Capito auratus,Gilded Barbet,gilbar1,species,10589.0,GIBA,CAAU,,Piciformes,New World Barbets,Capitonidae,,,
Capito sp.,Capito sp.,capito1,spuh,10589.2,,,,Piciformes,New World Barbets,Capitonidae,,,
Eubucco richardsoni,Lemon-throated Barbet,letbar1,species,10593.0,LTBA,EURI,,Piciformes,New World Barbets,Capitonidae,,,
Eubucco richardsoni richardsoni/nigriceps,Lemon-throated Barbet (Lemon-throated),letbar2,issf,10593.2,LTBA,EURI,,Piciformes,New World Barbets,Capitonidae,letbar1,,
Eubucco richardsoni aurantiicollis/purusianus,Lemon-throated Barbet (Flame-throated),letbar3,issf,10593.4,LTBA,EURI,,Piciformes,New World Barbets,Capitonidae,letbar1,,
Eubucco tucinkae,Scarlet-hooded Barbet,schbar1,species,10598.0,SHBA,EUTU,,Piciformes,New World Barbets,Capitonidae,,,
Eubucco bourcierii,Red-headed Barbet,rehbar1,species,10599.0,,EUBO,RHBA,Piciformes,New World Barbets,Capitonidae,,,
Eubucco versicolor,Versicolored Barbet,verbar1,species,10606.0,VEBA,EUVE,,Piciformes,New World Barbets,Capitonidae,,,
Eubucco versicolor steerii,Versicolored Barbet (Blue-cowled),verbar2,issf,10606.2,VEBA,EUVE,,Piciformes,New World Barbets,Capitonidae,verbar1,,
Eubucco versicolor glaucogularis,Versicolored Barbet (Blue-chinned),verbar3,issf,10606.4,VEBA,EUVE,,Piciformes,New World Barbets,Capitonidae,verbar1,,
Eubucco versicolor versicolor,Versicolored Barbet (Blue-moustached),verbar4,issf,10606.6,VEBA,EUVE,,Piciformes,New World Barbets,Capitonidae,verbar1,,
Capitonidae sp.,new world barbet sp.,newbar1,spuh,10609.5,,,,Piciformes,New World Barbets,Capitonidae,,,
Semnornis frantzii,Prong-billed Barbet,prbbar1,species,10610.0,,SEFR,PBBA,Piciformes,Toucan-Barbets,Semnornithidae,,,
Semnornis ramphastinus,Toucan Barbet,toubar1,species,10611.0,TOBA,SERA,,Piciformes,Toucan-Barbets,Semnornithidae,,,
Aulacorhynchus prasinus,Northern Emerald-Toucanet,noremt1,species,10611.2,NETO,AUPR,NOET,Piciformes,Toucans,Ramphastidae,,,
Aulacorhynchus prasinus wagleri,Northern Emerald-Toucanet (Wagler's),emetou3,issf,10615.0,NOET WATO NETO,AUPR,,Piciformes,Toucans,Ramphastidae,noremt1,,
Aulacorhynchus prasinus [prasinus Group],Northern Emerald-Toucanet (Emerald),emetou2,issf,10616.0,NOET NETO EMTO,AUPR,,Piciformes,Toucans,Ramphastidae,noremt1,,
Aulacorhynchus prasinus caeruleogularis/maxillaris,Northern Emerald-Toucanet (Blue-throated),emetou4,issf,10623.0,NOET NETO BTTO,AUPR,,Piciformes,Toucans,Ramphastidae,noremt1,,
Aulacorhynchus prasinus cognatus,Northern Emerald-Toucanet (Violet-throated),emetou5,issf,10626.0,NOET VTTO NETO,AUPR,,Piciformes,Toucans,Ramphastidae,noremt1,,
Aulacorhynchus albivitta,Southern Emerald-Toucanet,souemt1,species,10626.2,SOET SETO,AUAL,,Piciformes,Toucans,Ramphastidae,,,
Aulacorhynchus albivitta lautus,Southern Emerald-Toucanet (Santa Marta),emetou6,issf,10627.0,SOET SMTO SETO,AUAL,,Piciformes,Toucans,Ramphastidae,souemt1,,
Aulacorhynchus albivitta griseigularis,Southern Emerald-Toucanet (Gray-throated),emetou9,issf,10627.5,GTTO SOET SETO,AUAL,,Piciformes,Toucans,Ramphastidae,souemt1,,
Aulacorhynchus albivitta albivitta/phaeolaemus,Southern Emerald-Toucanet (Andean),emetou7,issf,10628.0,WTTO SOET SETO,AUAL,,Piciformes,Toucans,Ramphastidae,souemt1,,
Aulacorhynchus albivitta [atrogularis Group],Southern Emerald-Toucanet (Black-throated),emetou8,issf,10632.0,SOET BTTO SETO,AUAL,,Piciformes,Toucans,Ramphastidae,souemt1,,
Aulacorhynchus sulcatus,Groove-billed Toucanet,grbtou1,species,10636.0,GBTO,AUSU,,Piciformes,Toucans,Ramphastidae,,,
Aulacorhynchus sulcatus calorhynchus,Groove-billed Toucanet (Yellow-billed),grbtou2,issf,10637.0,GBTO,AUSU,,Piciformes,Toucans,Ramphastidae,grbtou1,,
Aulacorhynchus sulcatus sulcatus/erythrognathus,Groove-billed Toucanet (Groove-billed),grbtou3,issf,10637.5,GBTO,AUSU,,Piciformes,Toucans,Ramphastidae,grbtou1,,
Aulacorhynchus derbianus,Chestnut-tipped Toucanet,chttou3,species,10641.0,CTTO,AUDE,,Piciformes,Toucans,Ramphastidae,,,
Aulacorhynchus whitelianus,Tepui Toucanet,chttou2,species,10641.5,TETO,AUWH,,Piciformes,Toucans,Ramphastidae,,,
Aulacorhynchus haematopygus,Crimson-rumped Toucanet,crrtou1,species,10645.0,CRTO,AUHA,,Piciformes,Toucans,Ramphastidae,,,
Aulacorhynchus huallagae,Yellow-browed Toucanet,yebtou1,species,10648.0,YBTO,AUHU,,Piciformes,Toucans,Ramphastidae,,,
Aulacorhynchus coeruleicinctis,Blue-banded Toucanet,blbtou1,species,10649.0,BBTO,AUCO,,Piciformes,Toucans,Ramphastidae,,,
Aulacorhynchus sp.,Aulacorhynchus sp.,aulaco1,spuh,10649.2,,,,Piciformes,Toucans,Ramphastidae,,,
Andigena hypoglauca,Gray-breasted Mountain-Toucan,gybmot1,species,10650.0,GBMT,ANHY,,Piciformes,Toucans,Ramphastidae,,,
Andigena laminirostris,Plate-billed Mountain-Toucan,pbmtou1,species,10653.0,PBMT,ANLA,,Piciformes,Toucans,Ramphastidae,,,
Andigena cucullata,Hooded Mountain-Toucan,homtou1,species,10654.0,HMTO HOMT,ANCU,,Piciformes,Toucans,Ramphastidae,,,
Andigena nigrirostris,Black-billed Mountain-Toucan,bbmtou1,species,10655.0,BBMT,ANNI,,Piciformes,Toucans,Ramphastidae,,,
Pteroglossus bailloni,Saffron Toucanet,saftou2,species,10659.0,SATO,PTBA,,Piciformes,Toucans,Ramphastidae,,,
Pteroglossus viridis,Green Aracari,greara1,species,10660.0,GRAR,PTVI,,Piciformes,Toucans,Ramphastidae,,,
Pteroglossus inscriptus,Lettered Aracari,letara1,species,10661.0,LEAR,PTIN,,Piciformes,Toucans,Ramphastidae,,,
Pteroglossus inscriptus humboldti,Lettered Aracari (Humboldt's),letara2,issf,10661.2,LEAR,PTIN,,Piciformes,Toucans,Ramphastidae,letara1,,
Pteroglossus inscriptus inscriptus,Lettered Aracari (Lettered),letara3,issf,10661.4,LEAR,PTIN,,Piciformes,Toucans,Ramphastidae,letara1,,
Pteroglossus torquatus,Collared Aracari,colara1,species,10664.0,CBMA,PTTO,COAR,Piciformes,Toucans,Ramphastidae,,,
Pteroglossus torquatus [torquatus Group],Collared Aracari (Collared),colara2,issf,10665.0,CBMA COAR,PTTO,,Piciformes,Toucans,Ramphastidae,colara1,,
Pteroglossus torquatus sanguineus,Collared Aracari (Stripe-billed),colara4,issf,10670.0,CBMA COAR SBAR,PTTO,,Piciformes,Toucans,Ramphastidae,colara1,,
Pteroglossus torquatus erythropygius,Collared Aracari (Pale-mandibled),colara5,issf,10671.0,CBMA COAR PMAR,PTTO,,Piciformes,Toucans,Ramphastidae,colara1,,
Pteroglossus frantzii,Fiery-billed Aracari,fibara1,species,10672.0,,PTFR,FBAR,Piciformes,Toucans,Ramphastidae,,,
Pteroglossus aracari,Black-necked Aracari,blnara1,species,10673.0,BNAR,PTAR,,Piciformes,Toucans,Ramphastidae,,,
Pteroglossus castanotis,Chestnut-eared Aracari,cheara1,species,10677.0,CEAR,PTCA,,Piciformes,Toucans,Ramphastidae,,,
Pteroglossus pluricinctus,Many-banded Aracari,mabara1,species,10680.0,MBAR,PTPL,,Piciformes,Toucans,Ramphastidae,,,
Pteroglossus azara,Ivory-billed Aracari,ivbara1,species,10681.0,IBAR IBMA,PTAZ,,Piciformes,Toucans,Ramphastidae,,,
Pteroglossus azara flavirostris,Ivory-billed Aracari (Yellow-billed),ivbara4,issf,10681.2,IBAR IBMA,PTAZ,,Piciformes,Toucans,Ramphastidae,ivbara1,,
Pteroglossus azara azara,Ivory-billed Aracari (Ivory-billed),ivbara5,issf,10681.4,IBAR IBMA,PTAZ,,Piciformes,Toucans,Ramphastidae,ivbara1,,
Pteroglossus azara mariae,Ivory-billed Aracari (Brown-billed),ivbara3,issf,10685.0,IBAR IBMA BMAR,PTAZ,,Piciformes,Toucans,Ramphastidae,ivbara1,,
Pteroglossus beauharnaesii,Curl-crested Aracari,cucara1,species,10686.0,CCAR,PTBE,,Piciformes,Toucans,Ramphastidae,,,
Pteroglossus bitorquatus,Red-necked Aracari,renara1,species,10687.0,RNAR,PTBI,,Piciformes,Toucans,Ramphastidae,,,
Pteroglossus bitorquatus sturmii,Red-necked Aracari (Western),renara2,issf,10687.1,RNAR,PTBI,,Piciformes,Toucans,Ramphastidae,renara1,,
Pteroglossus bitorquatus bitorquatus/reichenowi,Red-necked Aracari (Eastern),renara3,issf,10687.2,RNAR,PTBI,,Piciformes,Toucans,Ramphastidae,renara1,,
Pteroglossus sp.,aracari sp.,aracar1,spuh,10690.5,,,,Piciformes,Toucans,Ramphastidae,,,
Selenidera spectabilis,Yellow-eared Toucanet,yeetou1,species,10691.0,,SESP,YETO,Piciformes,Toucans,Ramphastidae,,,
Selenidera piperivora,Guianan Toucanet,guitou1,species,10692.0,GUTO,SEPI,,Piciformes,Toucans,Ramphastidae,,,
Selenidera reinwardtii,Golden-collared Toucanet,goctou1,species,10693.0,GCTO,SERE,,Piciformes,Toucans,Ramphastidae,,,
Selenidera reinwardtii reinwardtii,Golden-collared Toucanet (Red-billed),goctou2,issf,10693.2,GCTO,SERE,,Piciformes,Toucans,Ramphastidae,goctou1,,
Selenidera reinwardtii langsdorffii,Golden-collared Toucanet (Green-billed),goctou3,issf,10693.4,GCTO,SERE,,Piciformes,Toucans,Ramphastidae,goctou1,,
Selenidera nattereri,Tawny-tufted Toucanet,tattou1,species,10696.0,TTTO,SENA,,Piciformes,Toucans,Ramphastidae,,,
Selenidera gouldii,Gould's Toucanet,goutou1,species,10697.0,GOTO,SEGO,,Piciformes,Toucans,Ramphastidae,,,
Selenidera maculirostris,Spot-billed Toucanet,spbtou1,species,10698.0,SBTO,SEMA,,Piciformes,Toucans,Ramphastidae,,,
Ramphastidae (small toucan sp.),small toucan sp.,smatou1,spuh,10698.5,,,,Piciformes,Toucans,Ramphastidae,,,
Ramphastos toco,Toco Toucan,toctou1,species,10699.0,TOTO,RATO,,Piciformes,Toucans,Ramphastidae,,,
Ramphastos ambiguus,Yellow-throated Toucan,bkmtou1,species,10701.5,,RAAM,YTTO,Piciformes,Toucans,Ramphastidae,,,
Ramphastos ambiguus swainsonii,Yellow-throated Toucan (Chestnut-mandibled),chmtou1,issf,10702.0,YTTO,RAAM,,Piciformes,Toucans,Ramphastidae,bkmtou1,,
Ramphastos ambiguus ambiguus/abbreviatus,Yellow-throated Toucan (Black-mandibled),blmtou1,issf,10703.0,YTTO,RAAM,,Piciformes,Toucans,Ramphastidae,bkmtou1,,
Ramphastos tucanus,White-throated Toucan,whttou1,species,10706.0,WTTO,RATU,,Piciformes,Toucans,Ramphastidae,,,
Ramphastos tucanus tucanus,White-throated Toucan (Red-billed),whttou2,issf,10706.2,WTTO,RATU,,Piciformes,Toucans,Ramphastidae,whttou1,,
