Scientific_Name,Common_Name,Common_Name2,Species_Code,Order,Audio_URL,Img_URL,Info_URL
Alca torda,Razorbill,Razorbill,razorb,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522230.mp3,https://s3.amazonaws.com/com-aab-media/photo/75714531-1280px.jpg,https://www.allaboutbirds.org/guide/Razorbill
Sitta canadensis,Red-breasted nuthatch,Red-breasted nuthatch,rebnut,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522722.mp3,https://s3.amazonaws.com/com-aab-media/photo/75714611-1280px.jpg,https://www.allaboutbirds.org/guide/Red-breasted_nuthatch
Melanerpes carolinus,Red-bellied woodpecker,Red-bellied woodpecker,rebwoo,Piciformes,https://s3.amazonaws.com/com-aab-media/sound/522453.mp3,https://s3.amazonaws.com/com-aab-media/photo/75714641-1280px.jpg,https://www.allaboutbirds.org/guide/Red-bellied_woodpecker
Picoides borealis,Red-cockaded woodpecker,Red-cockaded woodpecker,recwoo,Piciformes,https://s3.amazonaws.com/com-aab-media/sound/522484.mp3,https://s3.amazonaws.com/com-aab-media/photo/75714721-1280px.jpg,https://www.allaboutbirds.org/guide/Red-cockaded_woodpecker
Loxia curvirostra,Red crossbill,Red crossbill,redcro,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/523183.mp3,https://s3.amazonaws.com/com-aab-media/photo/75714751-1280px.jpg,https://www.allaboutbirds.org/guide/Red_crossbill
Egretta rufescens,Reddish egret,Reddish egret,redegr,Pelecaniformes,https://s3.amazonaws.com/com-aab-media/sound/522035.mp3,https://s3.amazonaws.com/com-aab-media/photo/75714821-1280px.jpg,https://www.allaboutbirds.org/guide/Reddish_egret
Aythya americana,Redhead,Redhead,redhea,Anseriformes,https://s3.amazonaws.com/com-aab-media/sound/521870.mp3,https://s3.amazonaws.com/com-aab-media/photo/75714891-1280px.jpg,https://www.allaboutbirds.org/guide/Redhead
Calidris canutus,Red knot,Red knot,redkno,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522172.mp3,https://s3.amazonaws.com/com-aab-media/photo/75714921-1280px.jpg,https://www.allaboutbirds.org/guide/Red_knot
Ardea alba,Great egret,Great egret,greegr,Pelecaniformes,https://s3.amazonaws.com/com-aab-media/sound/522028.mp3,https://s3.amazonaws.com/com-aab-media/photo/76803341-1280px.jpg,https://www.allaboutbirds.org/guide/Great_egret
Clangula hyemalis,Long-tailed Duck,Long-tailed duck,lotduc,Anseriformes,https://s3.amazonaws.com/com-aab-media/sound/521887.mp3,https://s3.amazonaws.com/com-aab-media/photo/76803521-1280px.jpg,https://www.allaboutbirds.org/guide/Long-tailed_Duck
Colaptes chrysoides,Gilded flicker,Gilded flicker,gilfli,Piciformes,https://s3.amazonaws.com/com-aab-media/sound/522498.mp3,https://s3.amazonaws.com/com-aab-media/photo/76803721-1280px.jpg,https://www.allaboutbirds.org/guide/Gilded_flicker
Rissa tridactyla,Black-legged kittiwake,Black-legged kittiwake,bklkit,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522251.mp3,https://s3.amazonaws.com/com-aab-media/photo/76803851-1280px.jpg,https://www.allaboutbirds.org/guide/Black-legged_kittiwake
Sula sula,Red-footed booby,Red-footed booby,refboo,Suliformes,https://s3.amazonaws.com/com-aab-media/sound/522011.mp3,https://s3.amazonaws.com/com-aab-media/photo/76804501-1280px.jpg,https://www.allaboutbirds.org/guide/Red-footed_booby
Sula dactylatra,Masked booby,Masked booby,masboo,Suliformes,https://s3.amazonaws.com/com-aab-media/sound/522007.mp3,https://s3.amazonaws.com/com-aab-media/photo/76804591-1280px.jpg,https://www.allaboutbirds.org/guide/Masked_booby
Calcarius ornatus,Chestnut-collared longspur,Chestnut-collared longspur,chclon,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522853.mp3,https://s3.amazonaws.com/com-aab-media/photo/76804651-1280px.jpg,https://www.allaboutbirds.org/guide/Chestnut-collared_longspur
Crotophaga sulcirostris,Groove-billed ani,Groove-billed ani,grbani,Cuculiformes,https://s3.amazonaws.com/com-aab-media/sound/522340.mp3,https://s3.amazonaws.com/com-aab-media/photo/76804711-1280px.jpg,https://www.allaboutbirds.org/guide/Groove-billed_ani
Luscinia svecica,Bluethroat,Bluethroat,blueth,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522777.mp3,https://s3.amazonaws.com/com-aab-media/photo/76804831-1280px.jpg,https://www.allaboutbirds.org/guide/Bluethroat
Thalasseus elegans,Elegant tern,Elegant tern,eleter1,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522305.mp3,https://s3.amazonaws.com/com-aab-media/photo/76804911-1280px.jpg,https://www.allaboutbirds.org/guide/Elegant_tern
Passerina versicolor,Varied bunting,Varied bunting,varbun,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/523113.mp3,https://s3.amazonaws.com/com-aab-media/photo/76805551-1280px.jpg,https://www.allaboutbirds.org/guide/Varied_bunting
Pagophila eburnea,Ivory gull,Ivory gull,ivogul,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522254.mp3,https://s3.amazonaws.com/com-aab-media/photo/76805621-1280px.jpg,https://www.allaboutbirds.org/guide/Ivory_gull
Patagioenas leucocephala,White-crowned pigeon,White-crowned pigeon,whcpig2,Columbiformes,https://s3.amazonaws.com/com-aab-media/sound/522310.mp3,https://s3.amazonaws.com/com-aab-media/photo/76805791-1280px.jpg,https://www.allaboutbirds.org/guide/White-crowned_pigeon
Calcarius pictus,Smiths longspur,Smith's longspur,smilon,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522855.mp3,https://s3.amazonaws.com/com-aab-media/photo/76805861-1280px.jpg,https://www.allaboutbirds.org/guide/Smiths_longspur
Contopus pertinax,Greater pewee,Greater pewee,grepew,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522531.mp3,https://s3.amazonaws.com/com-aab-media/photo/76805981-1280px.jpg,https://www.allaboutbirds.org/guide/Greater_pewee
Larus heermanni,Heermanns gull,Heermann's gull,heegul,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522262.mp3,https://s3.amazonaws.com/com-aab-media/photo/76806091-1280px.jpg,https://www.allaboutbirds.org/guide/Heermanns_gull
Baeolophus wollweberi,Bridled titmouse,Bridled titmouse,britit,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522705.mp3,https://s3.amazonaws.com/com-aab-media/photo/76806211-1280px.jpg,https://www.allaboutbirds.org/guide/Bridled_titmouse
Phylloscopus borealis,Arctic warbler,Arctic warbler,arcwar1,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522773.mp3,https://s3.amazonaws.com/com-aab-media/photo/76806311-1280px.jpg,https://www.allaboutbirds.org/guide/Arctic_warbler
Gelochelidon nilotica,Gull-billed tern,Gull-billed tern,gubter1,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522289.mp3,https://s3.amazonaws.com/com-aab-media/photo/76806331-1280px.jpg,https://www.allaboutbirds.org/guide/Gull-billed_tern
Peucaea carpalis,Rufous-winged sparrow,Rufous-winged sparrow,ruwspa,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/523003.mp3,https://s3.amazonaws.com/com-aab-media/photo/76806521-1280px.jpg,https://www.allaboutbirds.org/guide/Rufous-winged_sparrow
Calidris virgata,Surfbird,Surfbird,surfbi,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522173.mp3,https://s3.amazonaws.com/com-aab-media/photo/76806571-1280px.jpg,https://www.allaboutbirds.org/guide/Surfbird
