SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,ORDER
Phylloscartes gualaquizae,Ecuadorian Tyrannulet,ecutyr1,Passeriformes
Phylloscartes nigrifrons,Black-fronted Tyrannulet,blftyr1,Passeriformes
Phylloscartes superciliaris,Rufous-browed Tyrannulet,rubtyr1,Passeriformes
Phylloscartes ceciliae,Alagoas Tyrannulet,alatyr1,Passeriformes
Phylloscartes flaviventris,Rufous-lored Tyrannulet,rultyr1,Passeriformes
Phylloscartes parkeri,Cinnamon-faced Tyrannulet,ciftyr1,Passeriformes
Phylloscartes roquettei,Minas Gerais Tyrannulet,migtyr1,Passeriformes
Phylloscartes paulista,Sao Paulo Tyrannulet,saptyr1,Passeriformes
Phylloscartes oustaleti,Oustalet's Tyrannulet,oustyr1,Passeriformes
Phylloscartes difficilis,Serra do Mar Tyrannulet,sdmtyr2,Passeriformes
Phylloscartes sylviolus,Bay-ringed Tyrannulet,bartyr1,Passeriformes
Phylloscartes sp.,Phylloscartes sp.,phyllo2,Passeriformes
Phyllomyias burmeisteri,Rough-legged Tyrannulet,roltyr1,Passeriformes
Phyllomyias burmeisteri zeledoni,Rough-legged Tyrannulet (Zeledon's),roltyr2,Passeriformes
Phyllomyias burmeisteri [leucogonys Group],Rough-legged Tyrannulet (White-fronted),roltyr4,Passeriformes
Phyllomyias burmeisteri burmeisteri,Rough-legged Tyrannulet (Burmeister's),roltyr3,Passeriformes
Phyllomyias virescens,Greenish Tyrannulet,gretyr1,Passeriformes
Phyllomyias reiseri,Reiser's Tyrannulet,reityr1,Passeriformes
Phyllomyias urichi,Urich's Tyrannulet,urityr1,Passeriformes
Phyllomyias sclateri,Sclater's Tyrannulet,scltyr1,Passeriformes
Phyllomyias fasciatus,Planalto Tyrannulet,platyr2,Passeriformes
Phyllomyias weedeni,Yungas Tyrannulet,yuntyr1,Passeriformes
Phyllomyias griseiceps,Sooty-headed Tyrannulet,sohtyr1,Passeriformes
Phyllomyias nigrocapillus,Black-capped Tyrannulet,blctyr1,Passeriformes
Phyllomyias cinereiceps,Ashy-headed Tyrannulet,ashtyr1,Passeriformes
Phyllomyias uropygialis,Tawny-rumped Tyrannulet,tartyr1,Passeriformes
Phyllomyias plumbeiceps,Plumbeous-crowned Tyrannulet,plctyr1,Passeriformes
Phyllomyias griseocapilla,Gray-capped Tyrannulet,gyctyr1,Passeriformes
Phyllomyias sp.,Phyllomyias sp.,phyllo3,Passeriformes
Zimmerius vilissimus,Paltry Tyrannulet,paltyr1,Passeriformes
Zimmerius vilissimus vilissimus,Paltry Tyrannulet (Paltry),paltyr2,Passeriformes
Zimmerius vilissimus parvus,Paltry Tyrannulet (Mistletoe),paltyr3,Passeriformes
Zimmerius vilissimus improbus/tamae,Paltry Tyrannulet (Mountain),paltyr4,Passeriformes
Zimmerius vilissimus petersi,Paltry Tyrannulet (Venezuelan),paltyr5,Passeriformes
