SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,ORDER
Peliperdix coqui,Coqui Francolin,coqfra2,Galliformes
Peliperdix coqui [hubbardi Group],Coqui Francolin (Plain-breasted),coqfra1,Galliformes
Peliperdix coqui coqui,Coqui Francolin (Bar-breasted),coqfra3,Galliformes
Peliperdix albogularis,White-throated Francolin,whtfra2,Galliformes
Peliperdix albogularis albogularis/buckleyi,White-throated Francolin (White-throated),whtfra1,Galliformes
Peliperdix albogularis dewittei,White-throated Francolin (Chestnut-breasted),whtfra3,Galliformes
Peliperdix schlegelii,Schlegel's Francolin,schfra2,Galliformes
Peliperdix lathami,Latham's Francolin,forfra2,Galliformes
Scleroptila levaillantii,Red-winged Francolin,rewfra2,Galliformes
Scleroptila streptophora,Ring-necked Francolin,rinfra2,Galliformes
Scleroptila finschi,Finsch's Francolin,finfra2,Galliformes
Scleroptila gutturalis,Orange River Francolin,orrfra2,Galliformes
Scleroptila gutturalis gutturalis/lorti,Orange River Francolin (Archer's),orrfra1,Galliformes
Scleroptila gutturalis jugularis,Orange River Francolin (Kalahari),orrfra3,Galliformes
Scleroptila gutturalis levalliantoides,Orange River Francolin (Orange River),orrfra4,Galliformes
Scleroptila afra,Gray-winged Francolin,gywfra1,Galliformes
Scleroptila psilolaema,Moorland Francolin,moofra2,Galliformes
Scleroptila psilolaema psilolaema,Moorland Francolin (Moorland),moofra1,Galliformes
Scleroptila psilolaema elgonensis,Moorland Francolin (Elgon),moofra3,Galliformes
Scleroptila shelleyi,Shelley's Francolin,shefra2,Galliformes
Scleroptila shelleyi shelleyi,Shelley's Francolin (Shelley's),shefra1,Galliformes
Scleroptila shelleyi whytei,Shelley's Francolin (Whyte's),shefra3,Galliformes
Pternistis/Francolinus/Peliperdix/Scleroptila sp.,francolin sp.,franco1,Galliformes
Ithaginis cruentus,Blood Pheasant,blophe1,Galliformes
Lophophorus impejanus,Himalayan Monal,himmon1,Galliformes
Lophophorus sclateri,Sclater's Monal,sclmon1,Galliformes
Lophophorus lhuysii,Chinese Monal,chimon1,Galliformes
Lerwa lerwa,Snow Partridge,snopar1,Galliformes
Tetraophasis obscurus,Verreaux's Partridge,verpar1,Galliformes
Tetraophasis szechenyii,Szechenyi's Partridge,szepar1,Galliformes
Tragopan melanocephalus,Western Tragopan,westra1,Galliformes
Tragopan satyra,Satyr Tragopan,sattra1,Galliformes
Tragopan blythii,Blyth's Tragopan,blytra1,Galliformes
Tragopan temminckii,Temminck's Tragopan,temtra1,Galliformes
Tragopan caboti,Cabot's Tragopan,cabtra1,Galliformes
Syrmaticus reevesii,Reeves's Pheasant,reephe1,Galliformes
Syrmaticus soemmerringii,Copper Pheasant,copphe1,Galliformes
Syrmaticus mikado,Mikado Pheasant,mikphe1,Galliformes
Syrmaticus ellioti,Elliot's Pheasant,ellphe1,Galliformes
Syrmaticus humiae,Hume's Pheasant,humphe1,Galliformes
Chrysolophus pictus,Golden Pheasant,golphe,Galliformes
Chrysolophus amherstiae,Lady Amherst's Pheasant,laaphe1,Galliformes
Phasianus colchicus,Ring-necked Pheasant,rinphe,Galliformes
Phasianus colchicus [colchicus Group],Ring-necked Pheasant (Ring-necked),rinphe1,Galliformes
Phasianus colchicus [versicolor Group],Ring-necked Pheasant (Green),rinphe2,Galliformes
Crossoptilon crossoptilon,White Eared-Pheasant,whephe1,Galliformes
Crossoptilon crossoptilon harmani,White Eared-Pheasant (Tibetan),whieap2,Galliformes
Crossoptilon crossoptilon [crossoptilon Group],White Eared-Pheasant (White),whieap1,Galliformes
Crossoptilon mantchuricum,Brown Eared-Pheasant,brephe1,Galliformes
Crossoptilon auritum,Blue Eared-Pheasant,blephe1,Galliformes
Catreus wallichii,Cheer Pheasant,chephe1,Galliformes
Lophura nycthemera,Silver Pheasant,silphe,Galliformes
Lophura leucomelanos,Kalij Pheasant,kalphe,Galliformes
Lophura diardi,Siamese Fireback,siafir1,Galliformes
Lophura bulweri,Bulwer's Pheasant,bulphe1,Galliformes
Lophura edwardsi,Edwards's Pheasant,edwphe1,Galliformes
Lophura swinhoii,Swinhoe's Pheasant,swiphe1,Galliformes
Lophura inornata,Salvadori's Pheasant,salphe1,Galliformes
Lophura inornata inornata,Salvadori's Pheasant (Salvadori's),salphe2,Galliformes
Lophura inornata hoogerwerfi,Salvadori's Pheasant (Hoogerwerf's),salphe3,Galliformes
Lophura erythrophthalma,Crestless Fireback,crefir2,Galliformes
Lophura erythrophthalma erythrophthalma,Crestless Fireback (Malay),crefir5,Galliformes
Lophura erythrophthalma pyronota,Crestless Fireback (Bornean),crefir6,Galliformes
Lophura ignita,Crested Fireback,crefir1,Galliformes
Lophura ignita rufa,Crested Fireback (Malay),crefir3,Galliformes
Lophura ignita ignita/nobilis,Crested Fireback (Bornean),crefir4,Galliformes
Phasianinae sp.,pheasant sp.,pheasa1,Galliformes
Perdix perdix,Gray Partridge,grypar,Galliformes
Perdix dauurica,Daurian Partridge,daupar1,Galliformes
Perdix hodgsoniae,Tibetan Partridge,tibpar1,Galliformes
Pucrasia macrolopha,Koklass Pheasant,kokphe1,Galliformes
Tetrao urogalloides,Black-billed Capercaillie,blbcap1,Galliformes
Tetrao urogallus,Western Capercaillie,wescap1,Galliformes
Tetrao tetrix,Black Grouse,blagro1,Galliformes
Tetrao urogallus x tetrix,Western Capercaillie x Black Grouse (hybrid),x00841,Galliformes
Tetrao mlokosiewiczi,Caucasian Grouse,caugro1,Galliformes
Tetrastes bonasia,Hazel Grouse,hazgro1,Galliformes
Tetrastes sewerzowi,Severtzov's Grouse,sevgro1,Galliformes
Bonasa umbellus,Ruffed Grouse,rufgro,Galliformes
Centrocercus urophasianus,Greater Sage-Grouse,saggro,Galliformes
Centrocercus minimus,Gunnison Sage-Grouse,gusgro,Galliformes
Centrocercus urophasianus/minimus,Greater/Gunnison Sage-Grouse,y00608,Galliformes
Falcipennis falcipennis,Siberian Grouse,sibgro2,Galliformes
Falcipennis canadensis,Spruce Grouse,sprgro,Galliformes
Falcipennis canadensis [canadensis Group],Spruce Grouse (Spruce),sprgro1,Galliformes
Falcipennis canadensis franklinii,Spruce Grouse (Franklin's),frsgro1,Galliformes
Bonasa umbellus/Falcipennis canadensis,Ruffed/Spruce Grouse,y00674,Galliformes
Lagopus lagopus,Willow Ptarmigan,wilpta,Galliformes
Lagopus lagopus scotica,Willow Ptarmigan (Red Grouse),wilpta1,Galliformes
Lagopus lagopus [lagopus Group],Willow Ptarmigan (Willow),wilpta2,Galliformes
Lagopus muta,Rock Ptarmigan,rocpta1,Galliformes
Lagopus leucura,White-tailed Ptarmigan,whtpta1,Galliformes
Lagopus sp.,ptarmigan sp.,ptarmi1,Galliformes
Dendragapus obscurus,Dusky Grouse,dusgro,Galliformes
Dendragapus fuliginosus,Sooty Grouse,soogro1,Galliformes
Dendragapus obscurus/fuliginosus,Dusky/Sooty Grouse,blugrs,Galliformes
Tympanuchus phasianellus,Sharp-tailed Grouse,shtgro,Galliformes
Centrocercus urophasianus x Tympanuchus phasianellus,Greater Sage-Grouse x Sharp-tailed Grouse (hybrid),x00727,Galliformes
Dendragapus obscurus x Tympanuchus phasianellus,Dusky x Sharp-tailed Grouse (hybrid),x00781,Galliformes
Tympanuchus cupido,Greater Prairie-Chicken,grpchi,Galliformes
Tympanuchus cupido pinnatus,Greater Prairie-Chicken (pinnatus),greprc1,Galliformes
Tympanuchus cupido cupido,Greater Prairie-Chicken (Heath Hen),heahen1,Galliformes
Tympanuchus cupido attwateri,Greater Prairie-Chicken (Attwater's),attprc1,Galliformes
Tympanuchus phasianellus x cupido,Sharp-tailed Grouse x Greater Prairie-Chicken (hybrid),x00728,Galliformes
Tympanuchus pallidicinctus,Lesser Prairie-Chicken,lepchi,Galliformes
Tympanuchus cupido x pallidicinctus,Greater x Lesser Prairie-Chicken (hybrid),x00668,Galliformes
Tympanuchus cupido/pallidicinctus,Greater/Lesser Prairie-Chicken,y00664,Galliformes
Tetraoninae sp.,grouse sp.,grouse1,Galliformes
Meleagris gallopavo,Wild Turkey,wiltur,Galliformes
Meleagris gallopavo (Domestic type),Wild Turkey (Domestic type),wiltur1,Galliformes
Meleagris ocellata,Ocellated Turkey,ocetur1,Galliformes
Gavia stellata,Red-throated Loon,retloo,Gaviiformes
Gavia arctica,Arctic Loon,arcloo,Gaviiformes
Gavia pacifica,Pacific Loon,pacloo,Gaviiformes
Gavia arctica/pacifica,Arctic/Pacific Loon,y00219,Gaviiformes
Gavia immer,Common Loon,comloo,Gaviiformes
Gavia adamsii,Yellow-billed Loon,yebloo,Gaviiformes
Gavia immer/adamsii,Common/Yellow-billed Loon,y00220,Gaviiformes
Gavia sp.,loon sp.,loon,Gaviiformes
Rollandia rolland,White-tufted Grebe,whtgre3,Podicipediformes
Rollandia microptera,Titicaca Grebe,titgre1,Podicipediformes
Tachybaptus rufolavatus,Alaotra Grebe,alagre1,Podicipediformes
Tachybaptus ruficollis,Little Grebe,litgre1,Podicipediformes
Tachybaptus ruficollis [ruficollis Group],Little Grebe (Little),litgre3,Podicipediformes
Tachybaptus ruficollis tricolor/vulcanorum,Little Grebe (Tricolored),litgre4,Podicipediformes
Tachybaptus novaehollandiae,Australasian Grebe,ausgre1,Podicipediformes
Tachybaptus pelzelnii,Madagascar Grebe,madgre1,Podicipediformes
Tachybaptus dominicus,Least Grebe,leagre,Podicipediformes
Podilymbus podiceps,Pied-billed Grebe,pibgre,Podicipediformes
Podilymbus gigas,Atitlan Grebe,atigre1,Podicipediformes
Poliocephalus poliocephalus,Hoary-headed Grebe,hohgre1,Podicipediformes
Tachybaptus novaehollandiae/Poliocephalus poliocephalus,Australasian/Hoary-headed Grebe,y01019,Podicipediformes
Poliocephalus rufopectus,New Zealand Grebe,nezgre1,Podicipediformes
Podiceps major,Great Grebe,gregre1,Podicipediformes
Podiceps auritus,Horned Grebe,horgre,Podicipediformes
Podiceps grisegena,Red-necked Grebe,rengre,Podicipediformes
Podiceps cristatus,Great Crested Grebe,grcgre1,Podicipediformes
Podiceps nigricollis,Eared Grebe,eargre,Podicipediformes
Podiceps auritus/nigricollis,Horned/Eared Grebe,y00229,Podicipediformes
Podiceps andinus,Colombian Grebe,colgre1,Podicipediformes
Podiceps occipitalis,Silvery Grebe,silgre1,Podicipediformes
Podiceps occipitalis juninensis,Silvery Grebe (Andean),silgre3,Podicipediformes
Podiceps occipitalis occipitalis,Silvery Grebe (Patagonian),silgre2,Podicipediformes
Podiceps taczanowskii,Junin Grebe,jungre1,Podicipediformes
Podiceps gallardoi,Hooded Grebe,hoogre1,Podicipediformes
Podiceps sp.,Podiceps sp.,podice1,Podicipediformes
Aechmophorus occidentalis,Western Grebe,wesgre,Podicipediformes
Aechmophorus clarkii,Clark's Grebe,clagre,Podicipediformes
Aechmophorus occidentalis x clarkii,Western x Clark's Grebe (hybrid),x00427,Podicipediformes
Aechmophorus occidentalis/clarkii,Western/Clark's Grebe,y00012,Podicipediformes
Podicipedidae sp.,grebe sp.,grebe1,Podicipediformes
Phoenicopterus chilensis,Chilean Flamingo,chifla1,Phoenicopteriformes
Phoenicopterus ruber,American Flamingo,grefla2,Phoenicopteriformes
Phoenicopterus roseus,Greater Flamingo,grefla3,Phoenicopteriformes
Phoenicopterus ruber/roseus,American/Greater Flamingo,grefla,Phoenicopteriformes
Phoeniconaias minor,Lesser Flamingo,lesfla1,Phoenicopteriformes
Phoenicoparrus andinus,Andean Flamingo,andfla2,Phoenicopteriformes
Phoenicoparrus jamesi,James's Flamingo,jamfla1,Phoenicopteriformes
Phoenicopteridae sp.,flamingo sp.,flamin1,Phoenicopteriformes
Aptenodytes patagonicus,King Penguin,kinpen1,Sphenisciformes
Aptenodytes forsteri,Emperor Penguin,emppen1,Sphenisciformes
Pygoscelis adeliae,Adelie Penguin,adepen1,Sphenisciformes
Pygoscelis papua,Gentoo Penguin,genpen1,Sphenisciformes
Pygoscelis antarcticus,Chinstrap Penguin,chipen2,Sphenisciformes
Megadyptes antipodes,Yellow-eyed Penguin,yeepen1,Sphenisciformes
Eudyptula minor,Little Penguin,litpen1,Sphenisciformes
Spheniscus demersus,African Penguin,jacpen1,Sphenisciformes
Spheniscus humboldti,Humboldt Penguin,humpen1,Sphenisciformes
Spheniscus mendiculus,Galapagos Penguin,galpen1,Sphenisciformes
Spheniscus magellanicus,Magellanic Penguin,magpen1,Sphenisciformes
Eudyptes pachyrhynchus,Fiordland Penguin,fiopen1,Sphenisciformes
Eudyptes sclateri,Erect-crested Penguin,bicpen1,Sphenisciformes
Eudyptes chrysolophus,Macaroni Penguin,macpen1,Sphenisciformes
Eudyptes schlegeli,Royal Penguin,roypen1,Sphenisciformes
Eudyptes chrysocome,Southern Rockhopper Penguin,rocpen1,Sphenisciformes
Eudyptes chrysocome chrysocome,Southern Rockhopper Penguin (Western),rocpen2,Sphenisciformes
Eudyptes chrysocome filholi,Southern Rockhopper Penguin (Eastern),rocpen3,Sphenisciformes
Eudyptes moseleyi,Moseley's Rockhopper Penguin,rocpen4,Sphenisciformes
Eudyptes robustus,Snares Penguin,snapen1,Sphenisciformes
Spheniscidae sp.,penguin sp.,pengui1,Sphenisciformes
Thalassarche chlororhynchos,Yellow-nosed Albatross,yenalb,Procellariiformes
Thalassarche chlororhynchos chlororhynchos,Yellow-nosed Albatross (Atlantic),yenalb2,Procellariiformes
Thalassarche chlororhynchos bassi,Yellow-nosed Albatross (Indian),yenalb3,Procellariiformes
Thalassarche chrysostoma,Gray-headed Albatross,gyhalb,Procellariiformes
Thalassarche bulleri,Buller's Albatross,bulalb2,Procellariiformes
Thalassarche cauta,White-capped Albatross,whcalb1,Procellariiformes
Thalassarche cauta cauta,White-capped Albatross (cauta),whcalb2,Procellariiformes
Thalassarche cauta steadi,White-capped Albatross (steadi),whcalb3,Procellariiformes
Thalassarche salvini,Salvin's Albatross,salalb1,Procellariiformes
Thalassarche eremita,Chatham Albatross,shyalb2,Procellariiformes
Thalassarche cauta/salvini/eremita,White-capped/Salvin's/Chatham Albatross,shyalb,Procellariiformes
Thalassarche melanophris,Black-browed Albatross,bkbalb,Procellariiformes
Thalassarche melanophris melanophris,Black-browed Albatross (Black-browed),bkbalb1,Procellariiformes
Thalassarche melanophris impavida,Black-browed Albatross (Campbell),bkbalb2,Procellariiformes
Thalassarche sp.,small albatross sp.,smaalb1,Procellariiformes
Phoebetria fusca,Sooty Albatross,sooalb1,Procellariiformes
Phoebetria palpebrata,Light-mantled Albatross,limalb1,Procellariiformes
Diomedea epomophora,Royal Albatross,royalb1,Procellariiformes
Diomedea epomophora epomophora,Royal Albatross (Southern),royalb2,Procellariiformes
Diomedea epomophora sanfordi,Royal Albatross (Northern),royalb3,Procellariiformes
Diomedea exulans,Wandering Albatross,wanalb,Procellariiformes
Diomedea exulans exulans,Wandering Albatross (Snowy),wanalb1,Procellariiformes
Diomedea exulans dabbenena,Wandering Albatross (Tristan),wanalb3,Procellariiformes
Diomedea exulans antipodensis,Wandering Albatross (New Zealand),wanalb2,Procellariiformes
Diomedea exulans gibsoni,Wandering Albatross (Gibson's),wanalb4,Procellariiformes
Diomedea exulans amsterdamensis,Wandering Albatross (Amsterdam),wanalb5,Procellariiformes
Diomedea sp.,large albatross sp.,laralb1,Procellariiformes
Phoebastria irrorata,Waved Albatross,wavalb,Procellariiformes
Phoebastria immutabilis,Laysan Albatross,layalb,Procellariiformes
Phoebastria nigripes,Black-footed Albatross,bkfalb,Procellariiformes
Phoebastria immutabilis x nigripes,Laysan x Black-footed Albatross (hybrid),x00017,Procellariiformes
Phoebastria albatrus,Short-tailed Albatross,shtalb,Procellariiformes
Diomedeidae sp.,albatross sp.,albatr1,Procellariiformes
Macronectes giganteus,Southern Giant-Petrel,angpet1,Procellariiformes
Macronectes halli,Northern Giant-Petrel,norgip1,Procellariiformes
Macronectes giganteus/halli,Northern/Southern Giant-Petrel,y00228,Procellariiformes
Fulmarus glacialis,Northern Fulmar,norful,Procellariiformes
Fulmarus glacialis glacialis,Northern Fulmar (glacialis),norful1,Procellariiformes
Fulmarus glacialis auduboni,Northern Fulmar (auduboni),norful2,Procellariiformes
Fulmarus glacialis rodgersii,Northern Fulmar (rodgersii),norful3,Procellariiformes
Fulmarus glacialoides,Southern Fulmar,souful1,Procellariiformes
Thalassoica antarctica,Antarctic Petrel,antpet1,Procellariiformes
Daption capense,Cape Petrel,cappet,Procellariiformes
Pagodroma nivea,Snow Petrel,snopet1,Procellariiformes
Pagodroma nivea nivea,Snow Petrel (Lesser),snopet2,Procellariiformes
Pagodroma nivea major,Snow Petrel (Greater),snopet3,Procellariiformes
Aphrodroma brevirostris,Kerguelen Petrel,kerpet2,Procellariiformes
Pterodroma macroptera,Great-winged Petrel,grwpet3,Procellariiformes
Pterodroma gouldi,Gray-faced Petrel,grwpet2,Procellariiformes
Pterodroma macroptera/gouldi,Great-winged/Gray-faced Petrel,grwpet1,Procellariiformes
Pterodroma neglecta,Kermadec Petrel,kerpet,Procellariiformes
Pterodroma magentae,Magenta Petrel,magpet1,Procellariiformes
Pterodroma arminjoniana,Trindade Petrel,tripet1,Procellariiformes
Pterodroma heraldica,Herald Petrel,herpet2,Procellariiformes
Pterodroma arminjoniana/heraldica,Trindade/Herald Petrel,herpet,Procellariiformes
Pterodroma ultima,Murphy's Petrel,murpet,Procellariiformes
Pterodroma solandri,Providence Petrel,solpet1,Procellariiformes
Pterodroma atrata,Henderson Petrel,henpet1,Procellariiformes
Pterodroma madeira,Zino's Petrel,madpet,Procellariiformes
Pterodroma feae,Fea's Petrel,feapet1,Procellariiformes
Pterodroma feae feae,Fea's Petrel (Fea's),feapet3,Procellariiformes
Pterodroma feae deserta,Fea's Petrel (Desertas),feapet2,Procellariiformes
Pterodroma madeira/feae,Zino's/Fea's Petrel,y00609,Procellariiformes
Pterodroma mollis,Soft-plumaged Petrel,soppet1,Procellariiformes
Pterodroma baraui,Barau's Petrel,barpet1,Procellariiformes
Pterodroma lessonii,White-headed Petrel,whhpet1,Procellariiformes
Pterodroma inexpectata,Mottled Petrel,motpet,Procellariiformes
Pterodroma cahow,Bermuda Petrel,berpet,Procellariiformes
Pterodroma hasitata,Black-capped Petrel,bkcpet,Procellariiformes
Pterodroma hasitata hasitata,Black-capped Petrel (hasitata),bkcpet1,Procellariiformes
Pterodroma hasitata caribbaea,Black-capped Petrel (Jamaican),bkcpet2,Procellariiformes
Pterodroma hasitata (White-faced),Black-capped Petrel (White-faced),bkcpet4,Procellariiformes
Pterodroma hasitata (Dark-faced),Black-capped Petrel (Dark-faced),bkcpet3,Procellariiformes
Pterodroma cahow/hasitata,Bermuda/Black-capped Petrel,y00713,Procellariiformes
Pterodroma externa,Juan Fernandez Petrel,jufpet,Procellariiformes
Pterodroma incerta,Atlantic Petrel,atlpet1,Procellariiformes
Pterodroma phaeopygia,Galapagos Petrel,galpet,Procellariiformes
Pterodroma sandwichensis,Hawaiian Petrel,hawpet1,Procellariiformes
Pterodroma phaeopygia/sandwichensis,Galapagos/Hawaiian Petrel (Dark-rumped Petrel),y00472,Procellariiformes
Pterodroma cervicalis,White-necked Petrel,whnpet,Procellariiformes
Pterodroma hypoleuca,Bonin Petrel,bonpet,Procellariiformes
Pterodroma nigripennis,Black-winged Petrel,bkwpet,Procellariiformes
Pterodroma axillaris,Chatham Petrel,chapet1,Procellariiformes
Pterodroma cookii,Cook's Petrel,coopet,Procellariiformes
Pterodroma defilippiana,Masatierra Petrel,maspet3,Procellariiformes
Pterodroma leucoptera,Gould's Petrel,goupet1,Procellariiformes
Pterodroma leucoptera leucoptera,Gould's Petrel (Gould's),goupet2,Procellariiformes
Pterodroma leucoptera caledonica,Gould's Petrel (New Caledonia),goupet3,Procellariiformes
Pterodroma brevipes,Collared Petrel,colpet1,Procellariiformes
Pterodroma brevipes brevipes,Collared Petrel (Collared),goupet4,Procellariiformes
Pterodroma brevipes magnificens,Collared Petrel (Magnificent),goupet5,Procellariiformes
Pterodroma longirostris,Stejneger's Petrel,stepet,Procellariiformes
Pterodroma pycrofti,Pycroft's Petrel,pycpet1,Procellariiformes
Pterodroma sp. (Cookilaria sp.),Cookilaria petrel sp.,coopet1,Procellariiformes
Pterodroma alba,Phoenix Petrel,phopet1,Procellariiformes
Pterodroma occulta,Vanuatu Petrel,venpet1,Procellariiformes
Pterodroma sp.,Pterodroma sp.,pterod,Procellariiformes
Halobaena caerulea,Blue Petrel,blupet1,Procellariiformes
Pachyptila turtur,Fairy Prion,faipri1,Procellariiformes
Pachyptila vittata,Broad-billed Prion,brbpri1,Procellariiformes
Pachyptila salvini,Salvin's Prion,salpri1,Procellariiformes
Pachyptila salvini salvini,Salvin's Prion (Salvin's),salpri2,Procellariiformes
Pachyptila salvini macgillivrayi,Salvin's Prion (MacGillivray's),salpri3,Procellariiformes
Pachyptila [undescribed form],Gough Prion (undescribed form),goupri1,Procellariiformes
Pachyptila desolata,Antarctic Prion,dovpri1,Procellariiformes
Pachyptila belcheri,Slender-billed Prion,slbpri1,Procellariiformes
Pachyptila crassirostris,Fulmar Prion,fulpri1,Procellariiformes
Pachyptila sp.,prion sp.,prion1,Procellariiformes
Bulweria bulwerii,Bulwer's Petrel,bulpet,Procellariiformes
Bulweria fallax,Jouanin's Petrel,joupet,Procellariiformes
Pseudobulweria macgillivrayi,Fiji Petrel,fijpet1,Procellariiformes
Pseudobulweria aterrima,Mascarene Petrel,maspet1,Procellariiformes
Pseudobulweria rostrata,Tahiti Petrel,tahpet1,Procellariiformes
Pseudobulweria becki,Beck's Petrel,becpet1,Procellariiformes
Procellaria cinerea,Gray Petrel,grapet,Procellariiformes
Procellaria aequinoctialis,White-chinned Petrel,whcpet1,Procellariiformes
Procellaria conspicillata,Spectacled Petrel,spepet1,Procellariiformes
Procellaria parkinsoni,Parkinson's Petrel,parpet1,Procellariiformes
Procellaria westlandica,Westland Petrel,wespet1,Procellariiformes
Procellaria sp.,Procellaria sp.,procel1,Procellariiformes
Calonectris leucomelas,Streaked Shearwater,strshe,Procellariiformes
Calonectris diomedea,Cory's Shearwater,corshe,Procellariiformes
Calonectris diomedea diomedea,Cory's Shearwater (Scopoli's),scoshe1,Procellariiformes
Calonectris diomedea borealis,Cory's Shearwater (borealis),corshe1,Procellariiformes
Calonectris edwardsii,Cape Verde Shearwater,cavshe1,Procellariiformes
Calonectris diomedea/edwardsii,Cory's/Cape Verde Shearwater,y00676,Procellariiformes
Ardenna creatopus,Pink-footed Shearwater,pifshe,Procellariiformes
Ardenna carneipes,Flesh-footed Shearwater,flfshe,Procellariiformes
Ardenna gravis,Great Shearwater,greshe,Procellariiformes
Calonectris diomedea/Ardenna gravis,Cory's/Great Shearwater,y00606,Procellariiformes
Ardenna pacifica,Wedge-tailed Shearwater,wetshe,Procellariiformes
Ardenna bulleri,Buller's Shearwater,bulshe,Procellariiformes
Ardenna grisea,Sooty Shearwater,sooshe,Procellariiformes
Ardenna tenuirostris,Short-tailed Shearwater,shtshe,Procellariiformes
Ardenna grisea/tenuirostris,Sooty/Short-tailed Shearwater,y00020,Procellariiformes
Puffinus nativitatis,Christmas Shearwater,chrshe,Procellariiformes
Puffinus subalaris,Galapagos Shearwater,audshe3,Procellariiformes
Puffinus subalaris (dark-winged),Galapagos Shearwater (Dark-winged),galshe1,Procellariiformes
Puffinus subalaris (light-winged),Galapagos Shearwater (Light-winged),galshe2,Procellariiformes
Puffinus puffinus,Manx Shearwater,manshe,Procellariiformes
Puffinus yelkouan,Yelkouan Shearwater,levshe1,Procellariiformes
Puffinus mauretanicus,Balearic Shearwater,balshe1,Procellariiformes
Puffinus yelkouan/mauretanicus,Yelkouan/Balearic Shearwater,medshe1,Procellariiformes
Puffinus huttoni,Hutton's Shearwater,hutshe1,Procellariiformes
Puffinus auricularis,Townsend's Shearwater,towshe1,Procellariiformes
Puffinus newelli,Newell's Shearwater,towshe2,Procellariiformes
Puffinus auricularis/newelli,Townsend's/Newell's Shearwater,towshe,Procellariiformes
Puffinus myrtae,Rapa Shearwater,towshe3,Procellariiformes
Puffinus newelli/myrtae,Newell's/Rapa Shearwater,y00931,Procellariiformes
Puffinus bryani,Bryan's Shearwater,bryshe1,Procellariiformes
Puffinus opisthomelas,Black-vented Shearwater,bkvshe,Procellariiformes
Puffinus gavia,Fluttering Shearwater,flushe1,Procellariiformes
Puffinus huttoni/gavia,Hutton's/Fluttering Shearwater,y00832,Procellariiformes
Puffinus assimilis,Little Shearwater,litshe,Procellariiformes
Puffinus assimilis assimilis,Little Shearwater (Tasman),litshe3,Procellariiformes
Puffinus assimilis kermadecensis,Little Shearwater (Kermadec),litshe5,Procellariiformes
Puffinus assimilis haurakiensis,Little Shearwater (Hauraki),litshe6,Procellariiformes
Puffinus assimilis elegans,Little Shearwater (Subantarctic),litshe4,Procellariiformes
Puffinus assimilis tunneyi,Little Shearwater (West Australian),litshe7,Procellariiformes
Puffinus baroli,Barolo Shearwater,litshe1,Procellariiformes
Puffinus boydi,Boyd's Shearwater,litshe2,Procellariiformes
Puffinus baroli/boydi,Barolo/Boyd's Shearwater (Macaronesian Shearwater),y00714,Procellariiformes
Puffinus lherminieri,Audubon's Shearwater,audshe,Procellariiformes
Puffinus bailloni,Tropical Shearwater,troshe1,Procellariiformes
Puffinus bailloni bailloni,Tropical Shearwater (Mascarene),troshe2,Procellariiformes
Puffinus bailloni [dichrous Group],Tropical Shearwater (Indopacific),troshe3,Procellariiformes
Puffinus bailloni bannermani,Tropical Shearwater (Bannerman's),troshe4,Procellariiformes
Puffinus persicus,Persian Shearwater,pershe1,Procellariiformes
Puffinus heinrothi,Heinroth's Shearwater,heishe1,Procellariiformes
Puffinus sp. (black-and-white shearwater sp.),black-and-white shearwater sp.,bawshe1,Procellariiformes
Procellariidae sp. (shearwater sp.),shearwater sp.,shearw,Procellariiformes
Pelecanoides garnotii,Peruvian Diving-Petrel,pedpet1,Procellariiformes
Pelecanoides urinatrix,Common Diving-Petrel,codpet1,Procellariiformes
Pelecanoides georgicus,South Georgia Diving-Petrel,sgdpet1,Procellariiformes
Pelecanoides magellani,Magellanic Diving-Petrel,madpet1,Procellariiformes
Pelecanoides sp.,diving-petrel sp.,diving1,Procellariiformes
Procellariidae sp.,Procellariid sp.,procel2,Procellariiformes
Oceanites oceanicus,Wilson's Storm-Petrel,wispet,Procellariiformes
Oceanites oceanicus oceanicus/exasperatus,Wilson's Storm-Petrel (Wilson's),wilstp2,Procellariiformes
Oceanites oceanicus chilensis,Wilson's Storm-Petrel (Fuegian),wilstp1,Procellariiformes
Oceanites pincoyae,Pincoya Storm-Petrel,pumstp1,Procellariiformes
Oceanites gracilis,Elliot's Storm-Petrel,wvspet1,Procellariiformes
Oceanites sp.,Oceanites sp.,oceani1,Procellariiformes
Garrodia nereis,Gray-backed Storm-Petrel,gybstp1,Procellariiformes
Pelagodroma marina,White-faced Storm-Petrel,wfspet,Procellariiformes
Hydrobates pelagicus,European Storm-Petrel,bripet,Procellariiformes
Hydrobates pelagicus pelagicus,European Storm-Petrel (British),eurstp1,Procellariiformes
Hydrobates pelagicus melitensis,European Storm-Petrel (Mediterranean),eurstp2,Procellariiformes
Fregetta grallaria,White-bellied Storm-Petrel,wbspet1,Procellariiformes
Fregetta grallaria [grallaria Group],White-bellied Storm-Petrel (White-bellied),whbstp1,Procellariiformes
Fregetta grallaria titan,White-bellied Storm-Petrel (Rapa I.),whbstp2,Procellariiformes
Fregetta maoriana,New Zealand Storm-Petrel,nezstp1,Procellariiformes
Fregetta [undescribed form],New Caledonian Storm-Petrel (undescribed form),necstp1,Procellariiformes
Fregetta tropica,Black-bellied Storm-Petrel,bbspet1,Procellariiformes
Nesofregetta fuliginosa,Polynesian Storm-Petrel,pospet1,Procellariiformes
