COMMON_NAME,dl,COMMON_NAME_Original
Black-throated blue warbler,1,Black-throated blue warbler
Black-throated green warbler,1,Black-throated green warbler
Black-throated sparrow,1,Black-throated sparrow
Black-vented oriole,1,Black-vented oriole
Black-vented shearwater,1,Black-vented shearwater
Black-whiskered vireo,1,Black-whiskered vireo
Black-winged petrel,1,Black-winged petrel
Black-winged stilt,1,Black-winged stilt
Blue bunting,1,Blue bunting
Blue grosbeak,1,Blue grosbeak
Blue jay,1,Blue jay
Blue mockingbird,1,Blue mockingbird
Blue-footed booby,1,Blue-footed booby
Blue-headed vireo,1,Blue-headed vireo
Blue-winged warbler,1,Blue-winged warbler
Boat-tailed grackle,1,Boat-tailed grackle
Bobolink,1,Bobolink
Bohemian waxwing,1,Bohemian waxwing
Bonin petrel,1,Bonin petrel
Boreal chickadee,1,Boreal chickadee
Boreal owl,1,Boreal owl
Brambling,1,Brambling
Bridled tern,1,Bridled tern
Bridled titmouse,1,Bridled titmouse
Bristle-thighed curlew,1,Bristle-thighed curlew
Broad-billed hummingbird,1,Broad-billed hummingbird
Broad-billed sandpiper,1,Broad-billed sandpiper
Broad-tailed hummingbird,1,Broad-tailed hummingbird
Broad-winged hawk,1,Broad-winged hawk
Bronzed cowbird,1,Bronzed cowbird
Brown booby,1,Brown booby
Brown creeper,1,Brown creeper
Brown jay,1,Brown jay
Brown noddy,1,Brown noddy
Brown pelican,1,Brown pelican
Brown shrike,1,Brown shrike
Brown thrasher,1,Brown thrasher
Brown-backed solitaire,1,Brown-backed solitaire
Brown-chested martin,1,Brown-chested martin
Brown-crested flycatcher,1,Brown-crested flycatcher
Brown-headed cowbird,1,Brown-headed cowbird
Brown-headed nuthatch,1,Brown-headed nuthatch
Budgerigar,1,Budgerigar
Buff-bellied hummingbird,1,Buff-bellied hummingbird
Buff-breasted flycatcher,1,Buff-breasted flycatcher
Buff-breasted sandpiper,1,Buff-breasted sandpiper
Bumblebee hummingbird,1,Bumblebee hummingbird
Cactus wren,1,Cactus wren
California condor,1,California condor
California gull,1,California gull
California thrasher,1,California thrasher
Calliope hummingbird,1,Calliope hummingbird
Canada goose,1,Canada goose
Canada warbler,1,Canada warbler
Canyon towhee,1,Canyon towhee
Canyon wren,1,Canyon wren
Cape May warbler,1,Cape May warbler
Cape Verde shearwater,1,Cape Verde shearwater
Carolina chickadee,1,Carolina chickadee
Carolina parakeet,1,Carolina parakeet
Carolina wren,1,Carolina wren
Caspian tern,1,Caspian tern
Cassia crossbill,1,Cassia crossbill
Cattle egret,1,Cattle egret
Cave swallow,1,Cave swallow
Cedar waxwing,1,Cedar waxwing
Cerulean warbler,1,Cerulean warbler
Chatham albatross,1,Chatham albatross
Chestnut-backed chickadee,1,Chestnut-backed chickadee
Chestnut-bellied sandgrouse,1,Chestnut-bellied sandgrouse
Chestnut-collared longspur,1,Chestnut-collared longspur
Chestnut-sided warbler,1,Chestnut-sided warbler
Chihuahuan raven,1,Chihuahuan raven
Chimney swift,1,Chimney swift
Chinese egret,1,Chinese egret
Chinese sparrowhawk,1,Chinese sparrowhawk
Chipping sparrow,1,Chipping sparrow
Cinnamon hummingbird,1,Cinnamon hummingbird
Citrine wagtail,1,Citrine wagtail
Clapper rail,1,Clapper rail
Clay-colored sparrow,1,Clay-colored sparrow
Clay-colored thrush,1,Clay-colored thrush
Colima warbler,1,Colima warbler
Collared plover,1,Collared plover
Common black hawk,1,Common black hawk
Common chaffinch,1,Common chaffinch
Common chiffchaff,1,Common chiffchaff
Common cuckoo,1,Common cuckoo
Common eider,1,Common eider
Common gallinule,1,Common gallinule
Common grackle,1,Common grackle
Common greenshank,1,Common greenshank
Common loon,1,Common loon
Common murre,1,Common murre
Common nighthawk,1,Common nighthawk
Common poorwill,1,Common poorwill
Common raven,1,Common raven
Common redpoll,1,Common redpoll
Common redshank,1,Common redshank
Common redstart,1,Common redstart
Common ringed plover,1,Common ringed plover
Common sandpiper,1,Common sandpiper
Common snipe,1,Common snipe
Common swift,1,Common swift
Common tern,1,Common tern
Common waxbill,1,Common waxbill
Common yellowthroat,1,Common yellowthroat
Connecticut warbler,1,Connecticut warbler
Cordilleran flycatcher,1,Cordilleran flycatcher
Corn crake,1,Corn crake
Crane hawk,1,Crane hawk
Crescent-chested warbler,1,Crescent-chested warbler
Crested auklet,1,Crested auklet
Crimson-collared grosbeak,1,Crimson-collared grosbeak
Crissal thrasher,1,Crissal thrasher
Crowned slaty flycatcher,1,Crowned slaty flycatcher
Cuban martin,1,Cuban martin
Cuban pewee,1,Cuban pewee
Curlew sandpiper,1,Curlew sandpiper
Curve-billed thrasher,1,Curve-billed thrasher
Dark-eyed junco,1,Dark-eyed junco
Dark-sided flycatcher,1,Dark-sided flycatcher
Dickcissel,1,Dickcissel
Double-crested cormorant,1,Double-crested cormorant
Double-striped thick-knee,1,Double-striped thick-knee
Double-toothed kite,1,Double-toothed kite
Downy woodpecker,1,Downy woodpecker
Dunlin,1,Dunlin
Dusky grouse,1,Dusky grouse
Dusky thrush,1,Dusky thrush
Dusky warbler,1,Dusky warbler
Dusky-capped flycatcher,1,Dusky-capped flycatcher
Eared quetzal,1,Eared quetzal
Eastern bluebird,1,Eastern bluebird
Eastern kingbird,1,Eastern kingbird
Eastern meadowlark,1,Eastern meadowlark
Eastern phoebe,1,Eastern phoebe
Eastern towhee,1,Eastern towhee
Eastern yellow wagtail,1,Eastern yellow wagtail
Elegant tern,1,Elegant tern
Elf owl,1,Elf owl
Eskimo curlew,1,Eskimo curlew
Eurasian bullfinch,1,Eurasian bullfinch
Eurasian coot,1,Eurasian coot
Eurasian curlew,1,Eurasian curlew
Eurasian dotterel,1,Eurasian dotterel
Eurasian hobby,1,Eurasian hobby
Eurasian oystercatcher,1,Eurasian oystercatcher
Eurasian skylark,1,Eurasian skylark
Eurasian woodcock,1,Eurasian woodcock
Eurasian wryneck,1,Eurasian wryneck
Eyebrowed thrush,1,Eyebrowed thrush
Far Eastern curlew,1,Far Eastern curlew
Ferruginous hawk,1,Ferruginous hawk
Field sparrow,1,Field sparrow
Fieldfare,1,Fieldfare
Fish crow,1,Fish crow
Five-striped sparrow,1,Five-striped sparrow
Flame-colored tanager,1,Flame-colored tanager
Flammulated owl,1,Flammulated owl
Flesh-footed shearwater,1,Flesh-footed shearwater
Gila woodpecker,1,Gila woodpecker
Gilded flicker,1,Gilded flicker
Glaucous gull,1,Glaucous gull
Glaucous-winged gull,1,Glaucous-winged gull
Glossy ibis,1,Glossy ibis
Golden eagle,1,Golden eagle
Golden-cheeked warbler,1,Golden-cheeked warbler
Golden-crowned kinglet,1,Golden-crowned kinglet
Golden-crowned sparrow,1,Golden-crowned sparrow
Golden-crowned warbler,1,Golden-crowned warbler
Golden-fronted woodpecker,1,Golden-fronted woodpecker
Golden-winged warbler,1,Golden-winged warbler
Grasshopper sparrow,1,Grasshopper sparrow
Great auk,1,Great auk
Great black-backed gull,1,Great black-backed gull
Great blue heron,1,Great blue heron
Great cormorant,1,Great cormorant
Great crested flycatcher,1,Great crested flycatcher
Great egret,1,Great egret
Great frigatebird,1,Great frigatebird
Great horned owl,1,Great horned owl
Great kiskadee,1,Great kiskadee
Great knot,1,Great knot
Great shearwater,1,Great shearwater
Great skua,1,Great skua
Great spotted woodpecker,1,Great spotted woodpecker
Greater amakihi,1,Greater amakihi
Greater necklaced laughingthrush,1,Greater necklaced laughingthrush
Greater pewee,1,Greater pewee
Greater yellowlegs,1,Greater yellowlegs
Great-tailed grackle,1,Great-tailed grackle
Great-winged petrel,1,Great-winged petrel
Green heron,1,Green heron
Green jay,1,Green jay
Green kingfisher,1,Green kingfisher
Green parakeet,1,Green parakeet
Green sandpiper,1,Green sandpiper
Green-breasted mango,1,Green-breasted mango
Green-tailed towhee,1,Green-tailed towhee
Groove-billed ani,1,Groove-billed ani
Guadalupe murrelet,1,Guadalupe murrelet
Gull-billed tern,1,Gull-billed tern
Hairy woodpecker,1,Hairy woodpecker
Hawaiian crow,1,Hawaiian crow
Hawaiian hawk,1,Hawaiian hawk
Hawaiian petrel,1,Hawaiian petrel
Hawfinch,1,Hawfinch
Hepatic tanager,1,Hepatic tanager
Herald petrel,1,Herald petrel
Hermit thrush,1,Hermit thrush
Himalayan snowcock,1,Himalayan snowcock
Hooded oriole,1,Hooded oriole
Hooded warbler,1,Hooded warbler
Hook-billed kite,1,Hook-billed kite
Horned grebe,1,Horned grebe
Horned lark,1,Horned lark
Horned puffin,1,Horned puffin
House finch,1,House finch
House sparrow,1,House sparrow
House wren,1,House wren
Hudsonian godwit,1,Hudsonian godwit
Iceland gull,1,Iceland gull
Inca dove,1,Inca dove
Indian silverbill,1,Indian silverbill
Indigo bunting,1,Indigo bunting
Intermediate egret,1,Intermediate egret
Ivory gull,1,Ivory gull
Ivory-billed woodpecker,1,Ivory-billed woodpecker
Jabiru,1,Jabiru
Jack snipe,1,Jack snipe
Japanese bush warbler,1,Japanese bush warbler
Japanese quail,1,Japanese quail
Japanese white-eye,1,Japanese white-eye
Java sparrow,1,Java sparrow
Juniper titmouse,1,Juniper titmouse
Kalij pheasant,1,Kalij pheasant
Kamchatka leaf warbler,1,Kamchatka leaf warbler
Kelp gull,1,Kelp gull
Kentucky warbler,1,Kentucky warbler
Key West quail-dove,1,Key West quail-dove
Killdeer,1,Killdeer
Kioea,1,Kioea
Kona grosbeak,1,Kona grosbeak
Ladder-backed woodpecker,1,Ladder-backed woodpecker
Lanceolated warbler,1,Lanceolated warbler
Lapland longspur,1,Lapland longspur
Large-billed tern,1,Large-billed tern
Lark bunting,1,Lark bunting
Lark sparrow,1,Lark sparrow
Lavender waxbill,1,Lavender waxbill
Laysan albatross,1,Laysan albatross
Laysan finch,1,Laysan finch
Laysan honeycreeper,1,Laysan honeycreeper
Laysan rail,1,Laysan rail
Lazuli bunting,1,Lazuli bunting
Least auklet,1,Least auklet
Least bittern,1,Least bittern
Least flycatcher,1,Least flycatcher
Least grebe,1,Least grebe
Least sandpiper,1,Least sandpiper
Least tern,1,Least tern
Lesser akialoa,1,Lesser akialoa
Lesser black-backed gull,1,Lesser black-backed gull
Lesser nighthawk,1,Lesser nighthawk
Lesser whitethroat,1,Lesser whitethroat
Lesser yellowlegs,1,Lesser yellowlegs
Light-mantled albatross,1,Light-mantled albatross
Limpkin,1,Limpkin
Little blue heron,1,Little blue heron
Little bunting,1,Little bunting
Little curlew,1,Little curlew
Little egret,1,Little egret
Little gull,1,Little gull
Little ringed plover,1,Little ringed plover
Little stint,1,Little stint
Loggerhead kingbird,1,Loggerhead kingbird
Loggerhead shrike,1,Loggerhead shrike
Long-billed curlew,1,Long-billed curlew
Long-billed dowitcher,1,Long-billed dowitcher
Long-billed thrasher,1,Long-billed thrasher
Long-eared owl,1,Long-eared owl
