Scientific_Name,Common_Name,Common_Name2,Species_Code,Order,Audio_URL,Image_URL,Link_URL,us
Falco femoralis,Aplomado falcon,Aplomado falcon,aplfal,Falconiformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/_mg_6079.jpg?itok=iIHj4cTF,https://www.hbw.com/species/aplomado-falcon-falco-femoralis#Taxonomy,1
Sterna paradisaea,Arctic tern,Arctic tern,arcter,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522297.mp3,s3.amazonaws.com/com-aab-media/photo/75238481-1280px.jpg,https://www.allaboutbirds.org/guide/Arctic_tern,1
Phylloscopus borealis,Arctic warbler,Arctic warbler,arcwar1,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522773.mp3,s3.amazonaws.com/com-aab-media/photo/76806311-1280px.jpg,https://www.allaboutbirds.org/guide/Arctic_warbler,1
Picoides arizonae,Arizona woodpecker,Arizona woodpecker,ariwoo,Piciformes,https://s3.amazonaws.com/com-aab-media/sound/522481.mp3,s3.amazonaws.com/com-aab-media/photo/75226701-1280px.jpg,https://www.allaboutbirds.org/guide/Arizona_woodpecker,1
Myiarchus cinerascens,Ash-throated flycatcher,Ash-throated flycatcher,astfly,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522574.mp3,s3.amazonaws.com/com-aab-media/photo/75229271-1280px.jpg,https://www.allaboutbirds.org/guide/Ash-throated_flycatcher,1
Muscicapa dauurica,Asian brown flycatcher,Asian brown flycatcher,asbfly,Passeriformes,no audio,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Asian_Brown_Flycatcher_%28Muscicapa_dauurica%29_at_Periyar_National_Park.jpg/240px-Asian_Brown_Flycatcher_%28Muscicapa_dauurica%29_at_Periyar_National_Park.jpg,https://en.wikipedia.org/wiki/Asian_brown_flycatcher,1
Fratercula arctica,Atlantic puffin,Atlantic puffin,atlpuf,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522248.mp3,s3.amazonaws.com/com-aab-media/photo/75224141-1280px.jpg,https://www.allaboutbirds.org/guide/Atlantic_puffin,1
Icterus graduacauda,Audubons oriole,Audubon's oriole,audori,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/534067.mp3,s3.amazonaws.com/com-aab-media/photo/75258781-1280px.jpg,https://www.allaboutbirds.org/guide/Audubons_oriole,1
Puffinus lherminieri,Audubons shearwater,Audubon's shearwater,audshe,Procellariiformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/audubonsshearwater_undflt_nsmyrna_fl_9_25_16_a_am8i8675.jpg?itok=1FJCpvLe,https://www.hbw.com/species/audubons-shearwater-puffinus-lherminieri#Taxonomy,1
Ridgwayia pinicola,Aztec thrush,Aztec thrush,aztthr,Passeriformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Aztec.jpg?itok=g-dud9P9,https://www.hbw.com/species/aztec-thrush-ridgwayia-pinicola#Taxonomy,1
Peucaea aestivalis,Bachmans sparrow,Bachman's sparrow,bacspa,Passeriformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/bachmanssparrow_peer_tree_oken_ga_3_10_16_A_A61T1797.jpg?itok=mXRRXsaj,https://www.hbw.com/species/bachmans-sparrow-peucaea-aestivalis#Taxonomy,1
Vermivora bachmanii,Bachmans warbler,Bachman's warbler,bacwar,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Bachman%27s_Warbler.jpg/220px-Bachman%27s_Warbler.jpg,https://www.hbw.com/species/bachmans-warbler-vermivora-bachmanii#Taxonomy,1
Mimus gundlachii,Bahama mockingbird,Bahama mockingbird,bahmoc,Passeriformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Bahama_Mockingbird_1.jpg?itok=XuRnCcB3,https://www.hbw.com/species/bahama-mockingbird-mimus-gundlachii#Taxonomy,1
Tachycineta cyaneoviridis,Bahama swallow,Bahama swallow,bahswa,Passeriformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/p1030749.jpg?itok=ha5Qqrw2,https://www.hbw.com/species/bahama-swallow-tachycineta-cyaneoviridis#Taxonomy,1
