,Scientific_Name,Common_Name,Species_Code,Order
8417,Pachyramphus viridis,Green-backed Becard,grbbec1,Passeriformes
8418,Pachyramphus viridis viridis/griseigularis,Green-backed Becard (Green-backed),gnbbec1,Passeriformes
8419,Pachyramphus viridis xanthogenys/peruanus,Green-backed Becard (Yellow-cheeked),gnbbec2,Passeriformes
8420,Pachyramphus versicolor,Barred Becard,barbec1,Passeriformes
8421,Pachyramphus spodiurus,Slaty Becard,slabec1,Passeriformes
8422,Pachyramphus rufus,Cinereous Becard,cinbec2,Passeriformes
8423,Pachyramphus cinnamomeus,Cinnamon Becard,cinbec1,Passeriformes
8424,Pachyramphus castaneus,Chestnut-crowned Becard,chcbec1,Passeriformes
8425,Pachyramphus polychopterus,White-winged Becard,whwbec1,Passeriformes
8426,Pachyramphus albogriseus,Black-and-white Becard,bawbec1,Passeriformes
8427,Pachyramphus major,Gray-collared Becard,grcbec1,Passeriformes
8428,Pachyramphus major [major Group],Gray-collared Becard (Eastern),gycbec1,Passeriformes
8429,Pachyramphus major uropygialis,Gray-collared Becard (Western),gycbec2,Passeriformes
8430,Pachyramphus marginatus,Black-capped Becard,blcbec1,Passeriformes
8431,Pachyramphus surinamus,Glossy-backed Becard,glbbec1,Passeriformes
8432,Pachyramphus aglaiae,Rose-throated Becard,rotbec,Passeriformes
8433,Pachyramphus niger,Jamaican Becard,jambec1,Passeriformes
8434,Pachyramphus homochrous,One-colored Becard,oncbec1,Passeriformes
8435,Pachyramphus minor,Pink-throated Becard,pitbec1,Passeriformes
8436,Pachyramphus validus,Crested Becard,crebec1,Passeriformes
8437,Pachyramphus sp.,becard sp.,becard1,Passeriformes
8438,Menura alberti,Albert's Lyrebird,alblyr1,Passeriformes
8439,Menura novaehollandiae,Superb Lyrebird,suplyr1,Passeriformes
8440,Atrichornis rufescens,Rufous Scrub-bird,rusbir1,Passeriformes
8441,Atrichornis clamosus,Noisy Scrub-bird,nosbir1,Passeriformes
8442,Ailuroedus buccoides,White-eared Catbird,whecat1,Passeriformes
8443,Ailuroedus stonii,Ochre-breasted Catbird,ocbcat1,Passeriformes
8444,Ailuroedus geislerorum,Tan-capped Catbird,taccat1,Passeriformes
8445,Ailuroedus maculosus,Spotted Catbird,spocat2,Passeriformes
8446,Ailuroedus astigmaticus,Huon Catbird,huocat1,Passeriformes
8447,Ailuroedus melanocephalus,Black-capped Catbird,bkccat1,Passeriformes
8448,Ailuroedus jobiensis,Northern Catbird,norcat1,Passeriformes
8449,Ailuroedus arfakianus,Arfak Catbird,arfcat1,Passeriformes
8450,Ailuroedus melanotis,Black-eared Catbird,spocat1,Passeriformes
8451,Ailuroedus crassirostris,Green Catbird,grecat1,Passeriformes
8452,Scenopoeetes dentirostris,Tooth-billed Catbird,tobcat2,Passeriformes
8453,Archboldia papuensis,Archbold's Bowerbird,arcbow1,Passeriformes
8454,Amblyornis inornata,Vogelkop Bowerbird,vogbow2,Passeriformes
8455,Amblyornis macgregoriae,Macgregor's Bowerbird,macbow2,Passeriformes
8456,Amblyornis subalaris,Streaked Bowerbird,strbow1,Passeriformes
8457,Amblyornis flavifrons,Golden-fronted Bowerbird,gofbow1,Passeriformes
8458,Amblyornis newtoniana,Golden Bowerbird,golbow1,Passeriformes
8459,Sericulus aureus,Flame Bowerbird,flabow1,Passeriformes
8460,Sericulus aureus aureus,Flame Bowerbird (Masked),flabow3,Passeriformes
8461,Sericulus aureus ardens,Flame Bowerbird (Flame),flabow2,Passeriformes
8462,Sericulus bakeri,Fire-maned Bowerbird,fimbow1,Passeriformes
